item	outcome_status	bounded_result	still_open_or_forbidden
constant_metric_faithfulness	DERIVED_BOUNDED	six separated pullbacks have pooled rank ten and reconstruct the same constant Minkowski coefficient matrix	generic pointwise atlas physical metric history or query-family selection
terminal_readout	DERIVED_BOUNDED	bar_phi is an unoriented scalar and ell_0 cancels	physical inverse query or universal ordered depth
ordered_cycle_input	SUPPLIED_G137_G138_LIFT	delta is an antisymmetric edge lift tested for closure	metric-derived inverse observer query
positional_descent	NOT_IMPLIED_BY_CONSTANT_METRICITY	nonclosing pooled-rank-ten control has all displayed face residuals log2/4	universal no-go beyond declared supplied-query arena
sign_exhaustion	DERIVED_BOUNDED	zero of eight lifts of the three nonzero terminal scalars closes all faces	physical inverse ownership or all possible query semantics
closing_control	DERIVED_BOUNDED	pooled-rank-ten unit tetrahedron has zero residuals in the same metric	physical UDT network or selected scale
shared_calibration	CHOSE_EXACT_CONTROL	one ell_0 tau_0 hatted-coordinate convention used on all strips	physical scale reciprocal inverse or route congruence
G139_congruence	CHOSE_PROVISIONAL_NONIDENTITY_RELATION_FAMILY_ADMISSIBILITY	within admitted family position descends and route transport stays separate	not CANON not metric equation and family remains unselected
metric_history	NOT_RESTRICTED_BY_THIS_TEST	same g supports both supplied query outcomes	no universe selection
X_max	OPEN_NOT_USED	normalized cycle test independent of dimensional value	value wall center diameter proper length or signal distance
singular_timelive_global	OPEN_OMITTED	outside affine finite control	no generalization
downstream_physics	OPEN_OMITTED	no light EM observation bootstrap action source matter mass or dynamics	no inference
