status_id	object	status	scope_or_caveat
S01	founded clock-ruler action on supplied R17 delta_K	DERIVED_BRANCH_LOCAL	R17 intrinsic pair and branch-owned endpoint magnitude
S02	pair-only screen response	OPEN	founding Reciprocity does not fix the screen generator
S03	complete R17 vertical metric lift	CONDITIONAL_UNIQUE_MODULO_SO2	projector-preserving smooth order-zero class after supplying each off-shell C01-C06 complete coframe and lambda
S04	raw coframe lift	NONUNIQUE_PRESENTATION	continuous screen-rotation phase remains
S05	zero lift at nonzero delta_K	EXCLUDED_AS_DEPTH_REALIZATION	identity remains valid only for zero depth or transport-only use
S06	R17 lambda across family	UNSELECTED	six supplied configuration values retained
S07	full semidirect observer arrow	CONDITIONAL_ASSEMBLY_NOT_BRANCH_OWNED	G42 unchanged; physical path query reset and pair surface open
S08	carried-to-intrinsic projector alignment	DERIVED_BITORSOR	isometric and zero magnitude; no representative selected
S09	terminal reciprocal readout	DERIVED_COMPATIBILITY_ON_VERTICAL_FACTOR	not universal mixed-geometry c_eff
S10	action source carrier matter mass bootstrap Xmax CMB signalling	OPEN_NOT_DERIVED	outside audit
