source_id	path	source_ref	git_blob	sha256	size	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	053498fb:CURRENT_SCIENTIFIC_PREMISES.tsv	850c62c21324940f925eecce449a995452a4cc3c	8f46623300d80407c268e67659283237bcbc951053cd7b40b2724668be3275fa	30323	current G45 precedence and exclusions
S02	udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md	053498fb:udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md	d2fbefcae7fc9f0a4447ab563150050028f5737f	1a80fc5de65c5739d6be523d9d41a32194d9be2dfbcb7eda048fbf12431f4d99	5769	direct founding reciprocal character
S03	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	053498fb:udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	cc4e1da62c1cb1f5f4c53923b4e0b89f035f671f	0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	8763	founding relational character and R17 Killing depth
S04	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	053498fb:udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	7c97260e92963d78861122a5b8174595106427be	330e05e098b8de26b53803db200252d287d151f70d5fc87c5355a737f7151b18	6622	R17 intrinsic clock ruler and coframe
S05	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	053498fb:udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	9f6e9b3b1227e71c707d6ff5606aec83efcce943	ee019298dda60e8d98da6a4e439be397c0b77ed796ed5f3070501445956922a4	8535	basis-free R17 finite metric lift
S06	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	053498fb:udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	87c65b8ae7de2ff8928882970d5662adfc158d57	8e3de52c571b953ca878c6459235ff1487fb4d16029a33e7cb279cead980170b	4912	path carry and full holonomy obstruction
S07	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	053498fb:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	1b322f69194351add2da4a17ce9987c5bca4a8d1	eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	11710	abstract channel and flag character classification
S08	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	053498fb:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	aa58f76fa4758e961e133f283894a4d6414b1495	fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	15088	terminal pair metric compatibility
S09	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	053498fb:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	3867fe6bbe43bf3df5f1d5887a2719da6af889d1	c691c14076f179c8765f9261521a4f9e2c21ab1e1c3817dfb199085098d13d1c	10789	composition and middle-state typing
S10	udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	053498fb:udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	f0927ddfdb69c1f0597ce0ed4a833eaa865d008e	4a5505c35c5c154eb65228f5880970d50dbecd03628776df1e722db7cb5cfd0f	4218	24-identity branch scope
