test_id	claim_under_test	falsifier	required_disposition
F01	zero lift is excluded as a realization of nonzero founded depth	identity realizes D(delta) for any nonzero delta	TYPE_OR_NORMALIZATION_FAILURE
F02	smooth compositional vertical lifts are one-parameter representations	a smooth compositional counterexample is not generated by one fixed endomorphism	TYPE_OR_COMPOSITION_FAILURE
F03	founding Reciprocity fixes the pair weights	an admissible lift with pair weights other than -1,+1 reproduces D(delta)	PAIR_NORMALIZATION_FAILURE
F04	complete R17 realization fixes the symmetric screen weight	an inequivalent nonisometric screen response reproduces the same complete R17 metric scaling	NONUNIQUENESS_IN_COMPLETE_CLASS
F05	screen rotations are presentation/isometric freedom	a commuting screen rotation changes the induced metric or terminal reciprocal density	PHYSICAL_ROTATION_AMBIGUITY
F06	arbitrary isometric factors remain unselected	the branch metric or founding postulates choose one path/isometric factor	FULL_ARROW_SELECTION_CANDIDATE
F07	complete-coframe factor composes and reverses	exact matrix composition or inversion fails	TYPE_OR_COMPOSITION_FAILURE
F08	lambda is configuration-scoped	derivation silently selects one lambda across C01-C06	TYPE_FAILURE
F09	endpoint reset remains open	proof requires U_gamma X_p U_gamma^-1=X_intrinsic(q) despite full holonomy	TYPE_FAILURE
F10	pair surface remains open	linear lift is called an integrated physical pair surface without an integrability proof	TYPE_FAILURE
F11	result remains branch-scoped	claim is generalized beyond R17 C01-C06 or regular strata	SCOPE_FAILURE
F12	no downstream physics follows	action source mass bootstrap Xmax CMB or signalling is inferred	SCOPE_FAILURE
