object	status	active_role	forbidden_promotion
Lorentz_metric	DERIVED_CONDITIONAL_SUPPLIED_HISTORY	defines clocks null cones orthogonal rest spaces and pullbacks	physical history selector
endpoint_clocks	SUPPLIED_REGULAR_QUERY_DATA	unit future timelike anchors for celestial fibers	observer population law
full_relation_morphism	DERIVED_CONDITIONAL_G274_G298	path-labelled metric isometry and composition owner	path independence or route population
W1	WORKING_FOUNDATIONAL_CLARIFICATION	evaluates each supplied complete pair pullback	query selector history law or canon
W5	WORKING_FOUNDATIONAL_CLARIFICATION	complete projective/frame position component retains carry	unique rank-two projection or whole causal container
oriented_control_direction	FREE_AND_EXPLORED_OVER_FULL_S2	indexes the algebraically available celestial control fiber	premise-owned lawful physical query
unoriented_plane	DERIVED_QUOTIENT_TO_TEST	forgets ruler sign and is expected to give RP2	erasure of an oriented query when orientation matters
pair_domain_gauge	GAUGE	orthogonalizes and normalizes a representative without changing its plane	physical selection
route_and_query_population	OPEN_EXCLUDED	no role	inferred from existence of the family
lawful_query_family_ownership	OPEN_OPERATIONAL	no role	inferred from regularity or all-direction isometry action
history_dynamics_observation_scale_Xmax_source_matter_action	OPEN_EXCLUDED	no role	repair selector or interpretation
