object	status	maximum_claim
celestial_control_fiber	DERIVED_CONDITIONAL	oriented S2 from metric-unit clock rest space; algebraic control arena not a premise-owned physical query family
unoriented_pair_plane_fiber	DERIVED_CONDITIONAL	RP2 quotient after forgetting ruler orientation
full_relation_sky_action	DERIVED_CONDITIONAL	bijection with exact reversal and composition
clock_factor	DERIVED_CONDITIONAL	positive multiplicative cocycle over the sky action
direction_indexed_pair_input	DERIVED_CONDITIONAL	regular evaluator input for every supplied direction; lawful query ownership not derived
G298_target_local_JL	DERIVED_CONDITIONAL	exact actual-null-direction member
G298_transported_source_JT_plane	DERIVED_CONDITIONAL	plane class retained after pair-domain orthogonalization
individual_query_selection	NOT_DERIVED	isotropy forbids a universal natural section
lawful_query_family_ownership	OPEN_OPERATIONAL	G244 G179 G298 and G299 retain supplied sheet germ relation or query data
route_query_population	OPEN	no physical member selected
full_relation_carry	RETAINED_REQUIRED	composition owner; not replaced by pair planes or scalar
metric_and_kernel	UNCHANGED	no new term coefficient or formula
history_dynamics_scale_observation_Xmax	OPEN_EXCLUDED	outside G300
