id	path	locator	source_status	audit_use
S01	UDT_NATIVE_ACTION_COLD_PACKET.md	1.2 Reciprocal-c Identity and UDT Reciprocity	FOUNDING	Defines c and c^-1 as coequal conversion directions and q=(c dt,dr) as a dimension-matched coframe pair.
S02	UDT_NATIVE_ACTION_COLD_PACKET.md	1.3 Common-Scale Neutrality	FOUNDING	Positive common rescaling is calibrational at the pre-scale layer.
S03	UDT_NATIVE_ACTION_COLD_PACKET.md	1.4 Owner-ruled founding hierarchy H2	CONTROLLING_STAMP	Local Lorentzian readout, CSN representative, sign/unit phi, and slot identification retain non-derived status.
S04	UDT_NATIVE_ACTION_COLD_PACKET.md	2 Derived kinematic content	CONDITIONAL_EXAMPLE	Diagonal Lorentzian clock/parallel block follows only after representative, readout, and slot choices.
S05	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	O01	OWNER_LOCKED_FOR_AUDIT	c_E is finite terrestrial/solar Einsteinian c and the ordinary clock-length baseline.
S06	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	O13	BINDING_METHOD	The metric is the theory; derived geometry precedes imported dynamics.
S07	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	O15	OWNER_LOCKED_FOR_AUDIT	c_E and G_obs introduce scale only in the calibrated observational layer.
S08	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	Corrected semantic foundation / most important surviving result	CONTROLLING_OVERLAY	Retains c_E clock-length anchor while leaving the observable clock relation and representative map open.
S09	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Current honest result	CURRENT_FRONTIER	Metric-normalized local null speed remains finite c_0; representative and material clock/ruler calibration remain open.
S10	reciprocal_c_clock_channel_correction_2026-07-19/AUDIT_REPORT.md	What remains conditional	CONDITIONAL_HISTORY	Local readout, representative, reciprocal spatial slot, observer motion, and angular geometry remain separate premises.
S11	CANON.md	C-2026-07-04-1	CANONIZED_SECTOR_SPLIT	Static fields use the spatial depth mirror; time-on/rotating/off-diagonal fields use temporal t reversal, with exact spinning-node consequence open.
S12	udt_global_coframe_cocycle_audit_2026-07-20/DERIVATION_RESULT.json	mixed_readout_family	DERIVED_CONDITIONAL	Supplies H=[[A,B],[B,A b^2]], Lorentz condition, mu, and exact spatial-seal closure.
S13	udt_global_coframe_cocycle_audit_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	whole question	PRIOR_AUTHORIZED_NEXT_QUESTION	Names the observational-anchor and clock/ruler soldering seam audited here.
S14	udt_mixed_readout_anchor_soldering_audit_2026-07-20/PREREGISTRATION.md	whole file	FROZEN_PREREGISTRATION	Freezes branches, tests, outcomes, exclusions, and maximum conclusion before source inspection.
