object	status	statement	remaining_open_scope
Reciprocal exponential operator	DERIVED_CONDITIONAL	P(phi)=diag(exp(-phi),exp(phi)) under the frozen Reciprocity/composition/regularity/sign-unit stamps	Physical representative and operational observer map
Mixed Lorentzian readout family	DERIVED_CONDITIONAL	H=[[A,B],[B,A b^2]] with B^2>A^2 b^2 obeys exact spatial-seal isometry	Why this constant symmetric class or member is physically selected
Mixing modulus mu	INVARIANT_OPEN	mu is reconstructed from I=tr(H^-1 L^T H L), so it is not a simultaneous-basis artifact	Native equation or soldering condition that selects or rejects it
Finite observed c_E	OBSERVED_ANCHOR	Calibrates ordinary terrestrial/solar clock and ruler units and the local Lorentz cone	Map from reciprocal eigen-coframe to material orthonormal axes
FIXED_Q_ANCHOR branch	PINNED_BY_HABIT_CONDITIONAL	Would reject the mixed Lorentz family because a symmetric q-chart cone forces B=0	No current source declares q operationally orthogonal
ORTHONORMALIZABLE_ANCHOR branch	CONDITIONAL	Exact witness has local slopes +/-c in an orthonormal chart while L becomes non-diagonal	Existence is not a native physical-frame selection theorem
Spatial depth mirror	DERIVED_CONDITIONAL	F_b is an exact involutive isometry between phi and -phi for the mixed family	Complete lift and global topology
Temporal mirror component action	OPEN	Literal q-chart reversal would force B=0, while orthonormal temporal reflection conjugates to -F in the witness	Which coframe carries owner-named t and how the temporal sector is soldered
Physical observer transformation	OPEN	No SR/GR observer mechanics were imported	Native UDT frame/trajectory law
Clock-ruler soldering rule	OPEN	Current authority does not identify reciprocal eigen-directions with measured orthonormal clock/ruler axes	Metric/angular/finite-cell/bootstrap derivation
Action source carrier mass boundary	OPEN	Not touched by this bounded audit	Complete native dynamics and matter
