contract_id	claim_under_test	pass_condition	falsifier	maximum_conclusion_if_pass
F01	equivariance_not_equal_basic_descent	exact_pair_projector_conjugates_but_changes_under_vertical_pair_reset	pair_projector_invariant_under_all_vertical_pair_changes	typed_query_object_not_spacetime_tensor
F02	positive_basic_control	ambient_identity_and_metric_are_vertical_invariant	dependence_on_pair_choice	ambient_objects_descend
F03	section_pullback_dependence	two_sections_give_distinct_pair_projectors_at_same_base_point	all_section_pullbacks_agree_without_isotropy	section_needed_for_nonbasic_object
F04	query_kinematics_section_free	typed_composition_closes_with_vertical_arrows_and_no_global_section	composition_requires_one_pair_per_base_event	query_law_survives_without_reduction
F05	ambient_projected_geometry_split	ambient_curvature_is_basic_while_generic_plane_projection_is_pair_dependent	all_projected_curvature_is_vertically_invariant	projected_laws_need_query_typing_or_section
F06	variation_ownership_split	query_realized_and_branch_derived_variations_have_distinct_tangent_rules	one_tangent_rule_valid_for_all_architectures	ownership_rule_needed
F07	boundary_split	base_boundary_data_type_without_N_and_pair_polarization_changes_with_N	pair_polarization_basic_for_all_vertical_changes	boundary_section_dependency_classified
F08	stratified_derivative_scope	regular_branch_chain_rule_retained_and_collision_defect_derivative_not_silently_extended	unique_smooth_selector_derivative_certified_across_all_controls	stratified_ownership_remains_open
F09	fiber_aggregation_prohibition	no_measure_weight_or_normalization_found_in_frozen_sources	a_derived_native_fiber_measure_with_convergence	no_manufactured_descent_by_averaging
F10	law_slot_completeness	all_8_slots_and_all_frozen_facets_classified_once	missing_duplicate_or_unclassified_slot	bounded_descent_atlas_complete
F11	independent_reconstruction	separate_stdlib_exact_checks_reproduce_load_bearing_results	shared_import_or_disagreement	verified_with_stated_caveats
F12	scope_language	query_laws_spacetime_laws_and_section_dependent_laws_remain_distinct	physical_section_action_or_source_promoted	honest_maximum_conclusion
