slot_id	facet	query_bundle_status	spacetime_descent	section_requirement	variation_or_ownership	primary_class
L01	query_container	DERIVED_ASSOCIATED_PAIR_FRAME_BUNDLE	NOT_A_REALIZED_REDUCTION	NONE	QUERY_DATA	QUERY_CONTAINER_NO_SECTION
L01	realized_reduction	AVAILABLE_ONLY_IF_SECTION_EXISTS	PHYSICAL_N_Q_FIELD_CONDITIONAL	REALIZED_OR_BRANCH_DERIVED_SECTION	OWNERSHIP_OPEN	REALIZED_SECTION_REQUIRED
L01	screen_metric	GLOBAL_SECTION_OVER_QUERY_SCREEN_EXISTS	PAIR_DEPENDENT_GENERICALLY	SECTION_FOR_PHYSICAL_SPACETIME_SCREEN	CONFIGURATION_TANGENT_ONLY_AFTER_ARCHITECTURE	QUERY_EQUIVARIANT_NOT_BASIC
L01	mixing	GLOBAL_ASSOCIATED_VECTOR_BUNDLE_AND_ZERO_SECTION	NONZERO_PAIR_DEPENDENT_GENERICALLY	SECTION_FOR_NONTRIVIAL_PHYSICAL_MIXING	CONFIGURATION_TANGENT_ONLY_AFTER_ARCHITECTURE	QUERY_EQUIVARIANT_NOT_BASIC_EXCEPT_TRIVIAL_ZERO
L01	transition_cocycle	TYPED_WITHOUT_GLOBAL_PAIR_SECTION	BUNDLE_GLUE_NOT_PHYSICAL_REDUCTION	NONE_FOR_QUERY_CONTAINER	PRESENTATION_OR_GLOBAL_MODULUS_AS_REGISTERED	QUERY_CONTAINER_NO_SECTION
L02	query_variation	VERTICAL_PAIR_AND_PATH_CHANGES_ALLOWED	NOT_A_SPACETIME_FIELD_TANGENT	NONE	QUERY_NOT_FIELD_VARIATION	QUERY_CHANGE_NOT_FIELD_VARIATION
L02	metric_variation	PULLS_BACK_FROM_BASE_CONFIGURATION	DEFINED_ON_M_MOD_GAUGE	NONE	PHYSICAL_ONLY_AFTER_NATIVE_DOMAIN_DEFINED	SPACETIME_BASIC_NO_SECTION
L02	realized_section_variation	CONDITIONAL_ARCHITECTURE	ADDITIONAL_SPACETIME_FIELD_TANGENT	REALIZED_SECTION	OWNERSHIP_MUST_BE_SELECTED	REALIZED_SECTION_REQUIRED
L02	branch_derived_variation	OUTPUT_OF_PARENT_METRIC_ON_REGULAR_STRATUM	CHAIN_RULE_ON_REGULAR_BRANCH	BRANCH_DERIVED_SECTION	NOT_INDEPENDENT_VARIATION	BRANCH_DERIVED_SECTION_REGULAR_ONLY
L02	stratified_crossing	QUERY_ATLAS_CAN_RETAIN_STRATA	NO_SINGLE_FIXED_RANK_TANGENT_CHART	STRATIFIED_RULE	AMBIENT_PATH_NOT_FIXED_RANK_TANGENT	STRATIFIED_RULE_REQUIRED
