test_id	object	query_bundle_status	vertical_pair_test	spacetime_status	section_status	primary_class	caveat
D01	reciprocal_character_D_rho	WELL_TYPED_EQUIVARIANT_ON_TYPED_PAIR_ARROW	generator_and_plane_conjugate_under_reset	NOT_A_BARE_SPACETIME_TENSOR_GENERICALLY	NO_SECTION_FOR_QUERY_LAW__DEPTH_ASSIGNMENT_OPEN	QUERY_LAW_NO_SECTION	physical_signed_depth_remains_open
D02	pair_frame_path_groupoid_composition	EXACT_WITH_VERTICAL_PAIR_ARROWS	composition_and_reversal_close_for_supplied_typed_arrows	BARE_EVENT_COLLAPSE_NOT_DERIVED	NO_GLOBAL_SECTION_NEEDED_FOR_TYPED_COMPOSITION	QUERY_GROUPOID_LAW_NO_SECTION	path_and_object_semantics_remain_open
D03	tautological_plane_N_tilde	CANONICAL_SUBBUNDLE_OF_pi_pullback_TM	changes_under_vertical_pair_reset	NO_NATURAL_SECTION_OF_TM_FOLLOWS	REALIZED_OR_BRANCH_SECTION_NEEDED_FOR_SPACETIME_PLANE	QUERY_CONTAINER_NOT_BASIC	smooth_sections_may_exist_but_are_not_selected
D04	screen_Q_tilde_and_metric_h	WELL_TYPED_ASSOCIATED_BUNDLE_DATA	screen_projector_readout_changes_1_to_0_in_exact_control	NO_PAIR_INDEPENDENT_SCREEN_GENERICALLY	SECTION_OR_BRANCH_REDUCTION_FOR_PHYSICAL_SPACETIME_SCREEN	QUERY_EQUIVARIANT_NOT_BASIC	positive_screen_metrics_exist_after_split_but_are_not_selected
D05	mixing_sigma_in_Hom_N_Q	WELL_TYPED_ASSOCIATED_BUNDLE_DATA	general_nonzero_components_follow_pair_and_screen	NO_NONZERO_AMBIENT_TENSOR_DESCENT_GENERICALLY	SECTION_OR_BRANCH_REDUCTION_FOR_NONTRIVIAL_PHYSICAL_MIXING	QUERY_EQUIVARIANT_NOT_BASIC_EXCEPT_TRIVIAL_ZERO	zero_section_is_canonical_but_does_not_select_plane_or_physics
D06	ambient_metric_connection_curvature_scalars	DEFINED_ON_M_FROM_g	independent_of_vertical_pair_choice	SPACETIME_GEOMETRY_ALREADY_ON_M	NO_RECIPROCAL_SECTION_REQUIRED	SPACETIME_BASIC_NO_SECTION	pair_adapted_components_are_presentations_not_new_tensors
D07	plane_screen_extrinsic_and_projected_curvature	WELL_TYPED_AFTER_QUERY_PAIR	projected_trace_changes_5_to_7_and_vertical_derivative_is_48_over_25	NO_GENERIC_BASIC_DESCENT	QUERY_INTERPRETATION_OR_SECTION_REQUIRED	QUERY_EQUIVARIANT_NOT_BASIC	isotropic_special_values_do_not_prove_universal_descent
D08	two_section_pullbacks_of_pair_projector	EACH_PULLBACK_WELL_DEFINED	P_01_not_equal_P_02_at_same_base_point	SECTION_DEPENDENT	ONE_SECTION_MUST_BE_REALIZED_OR_BRANCH_DERIVED_FOR_ONE_FIELD	SECTION_PULLBACK_DEPENDENT	agreement_on_special_isotropy_loci_is_insufficient
D09	vertical_pair_change	VALID_QUERY_DIRECTION	changes_N_Q_without_changing_base_metric	NOT_A_FIELD_VARIATION_IN_QUERY_ARCHITECTURE	NO_SECTION_IN_QUERY_ARCHITECTURE	QUERY_CHANGE_NOT_FIELD_VARIATION	cannot_supply_Euler_Lagrange_tangent
D10	realized_section_change	NOT_PART_OF_QUERY_ONLY_FIELD_SPACE	vertical_section_tangent_is_nonzero	CONDITIONAL_ADDITIONAL_FIELD_VARIATION	REQUIRES_REALIZED_FIELD_ARCHITECTURE_AND_OWNERSHIP	REALIZED_SECTION_REQUIRED	section_existence_does_not_select_physical_ownership
D11	branch_derived_section_s_of_g	QUERY_OUTPUT_FIXED_BY_PARENT_ON_REGULAR_BRANCH	changes_by_parent_metric_chain_rule	SPACETIME_FIELD_ONLY_ON_REGULAR_BRANCH	NO_INDEPENDENT_SECTION_VARIATION	BRANCH_DERIVED_SECTION_REGULAR_ONLY	parent_law_and_branch_selection_remain_open
D12	collision_defect_zero_causal_type_rank_change	SET_OR_STRATIFIED_QUERY_DATA_RETAINED	collision_parent_has_distinct_isometry_related_plane_limits	NO_UNIQUE_SMOOTH_FIXED_RANK_DESCENT	STRATIFIED_OR_SET_VALUED_RULE_REQUIRED	STRATIFIED_RULE_REQUIRED	no_differential_inclusion_or_stack_law_is_invented
D13	base_boundary_geometry	PULLBACK_TO_QUERY_BOUNDARY_AVAILABLE	base_normal_and_induced_base_data_do_not_need_pair	DEFINED_ON_boundary_M_IF_BOUNDARY_SUPPLIED	NO_RECIPROCAL_SECTION_REQUIRED	SPACETIME_BOUNDARY_NO_SECTION	boundary_type_and_functional_remain_open
D14	pair_resolved_boundary_polarization	WELL_TYPED_ON_QUERY_BOUNDARY	P_N_b_changes_from_zero_to_b_in_exact_control	NO_GENERIC_BASIC_DESCENT	QUERY_INTERPRETATION_OR_SECTION_REQUIRED	QUERY_EQUIVARIANT_NOT_BASIC	seams_corners_and_orientation_still_open
D15	fiber_integration_or_average	FORMALLY_CONCEIVABLE	requires_measure_weight_normalization_and_convergence	NO_REGISTERED_DESCENT_OPERATION	NO_SECTION_ONLY_IF_A_NATIVE_AGGREGATION_RULE_WERE_DERIVED	FIBER_AGGREGATION_OPEN	no_measure_or_weight_may_be_invented
D16	query_operator_versus_spacetime_tensor	BOTH_TYPES_MATHEMATICALLY_AVAILABLE	basicness_decides_section_independence	CODOMAIN_AND_OWNERSHIP_NOT_SELECTED	DEPENDS_ON_CHOSEN_LAW_TYPE	LAW_TYPE_OWNERSHIP_OPEN	covariance_alone_does_not_choose_type
D17	ambient_identity_and_metric	PULLBACK_IS_VERTICAL_INVARIANT	unchanged_under_exact_pair_reset	UNIQUE_SPACETIME_OBJECT	NO_SECTION_REQUIRED	POSITIVE_BASIC_CONTROL	identity_does_not_select_reciprocal_plane
