object	status	scope	what_remains_open
overall_audit	VERIFIED_WITH_CAVEATS_BOUNDED_DESCENT_AND_SECTION_NECESSITY_ATLAS	all_8_open_skeleton_slots_and_18_frozen_descent_controls	future_nonlocal_laws_and_derived_fiber_aggregation_outside_scope
basic_descent_criterion	DERIVED_STANDARD_GEOMETRIC_TYPE_TEST	objects_over_ordered_pair_query_bundle	physical_law_need_not_be_basic_if_query_law_selected
founded_reciprocal_comparison	DERIVED_QUERY_GROUPOID_KINEMATICS_GIVEN_DEPTH	section_free_typed_pair_arrows	physical_signed_depth_path_and_object_semantics
tautological_reciprocal_plane	DERIVED_QUERY_CONTAINER_NOT_SPACETIME_SECTION	regular_ordered_pair_bundle	realized_or_branch_section
ambient_metric_connection_curvature	DEFINED_ON_SPACETIME_NO_RECIPROCAL_SECTION_REQUIRED	supplied_regular_metric	native_metric_law
screen_metric_and_mixing	QUERY_EQUIVARIANT_NOT_BASIC_GENERICALLY	associated_extension_over_query_bundle	physical_ownership_and_response
zero_mixing	TRIVIAL_BASIC_VALUE_NOT_SELECTED	canonical_zero_of_each_Hom_fiber	whether_physical_mixing_vanishes
projected_curvature_and_boundary_polarization	QUERY_EQUIVARIANT_NOT_BASIC_GENERICALLY	exact_vertical_pair_controls	query_interpretation_or_section
query_variation	DERIVED_NOT_FIELD_VARIATION	query_bundle_architecture	physical_object_and_path_semantics
realized_section_variation	CONDITIONAL_FIELD_TANGENT	if_realized_field_architecture_selected	section_existence_ownership_and_native_law
branch_derived_section_variation	CONDITIONAL_CHAIN_RULE_REGULAR_ONLY	regular_intrinsic_selector_strata	parent_law_branch_selection_and_singular_crossing
collision_defect_rank_change	STRATIFIED_OR_SET_VALUED_NO_UNIVERSAL_SMOOTH_DERIVATIVE	registered_selector_obstruction_strata	native_stratified_law
base_boundary_geometry	AVAILABLE_WITHOUT_RECIPROCAL_SECTION	if_base_boundary_supplied	boundary_type_functional_and_charge
fiber_aggregation	OPEN_NOT_SUPPLIED	potential_alternative_to_section	measure_weight_normalization_convergence_and_meaning
native_law_home_and_ownership	OPEN_SMALLEST_TYPE_LEVEL_JOINT	basic_spacetime_vs_equivariant_query_vs_section_evaluated_stratified	metric_native_selection_or_derivation
action_source_carrier_bootstrap_Xmax	OPEN_OR_PRIOR_CONDITIONAL	unchanged	all_prior_gates_remain
