catch_id	expected	observed
C01_MISSING_LAW_FACET	REJECT	PASS
C02_DUPLICATE_LAW_FACET	REJECT	PASS
C03_PAIR_PROJECTOR_FALSE_BASIC	REJECT	PASS
C04_QUERY_CHANGE_FALSE_FIELD_VARIATION	REJECT	PASS
C05_INVENTED_FIBER_AVERAGE	REJECT	PASS
C06_COLLISION_FALSE_SMOOTH	REJECT	PASS
C07_SECTION_FALSE_INDEPENDENT	REJECT	PASS
C08_MISSING_OBJECT	REJECT	PASS
C09_AMBIENT_LAW_FALSE_SECTION_REQUIRED	REJECT	PASS
C10_QUERY_COMPOSITION_FALSE_SECTION_REQUIRED	REJECT	PASS
C11_BOUNDARY_POLARIZATION_FALSE_BASIC	REJECT	PASS
C12_AMBIENT_SOURCE_FALSE_SECTION_REQUIRED	REJECT	PASS
C13_ALL_LAWS_FALSE_SECTION_REQUIRED	REJECT	PASS
C14_ZERO_MIXING_FALSE_SELECTOR	REJECT	PASS
C15_MISSING_SOURCE	REJECT	PASS
C16_PHYSICAL_SECTION_FALSE_DERIVED	REJECT	PASS
C17_CARRIER_FALSE_DERIVED	REJECT	PASS
C18_LOST_AGGREGATION_CAVEAT	REJECT	PASS
