sha256	path	role
f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	SIMPLE_METRIC_MACRO.md	declared primary metric
c9c0c3867db6397560d6e7ec720efc8e74472d094abfcd49eb60d0ebe6d87a1b	CURRENT_SCIENTIFIC_PREMISES.md	current premise boundary
9e985bbd73a2ffe099a57257ea51778fff9ec75eb48721565faafaafd14edc62	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	primary scalar kernel
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	primary pair pullback
c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	G167 boundary
611928ca840624448cf3c22759ecc7e9582cba8ae2f2a10749aa2ea6b0cc1913	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/EXACT_DERIVATION.md	metric germ projection and calibration boundary
24712719136b000e64367b6ebd234a2ef8d5b5f07ab493cfc4ea54e73b483ed9	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/AUDIT_REPORT.md	G168 ownership boundary
f4ff6489086e157deb9fb1e31ddf613e849a6806a129ec4c7d7657c0ebbd6d74	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19/EXACT_DERIVATION.md	endpoint-relative theorem
2470fa7b33f48337a450736f488c4f909540fb30e32163c0b0211ad5cbd52671	udt_g171_primary_metric_multi_pair_response_2026-08-19/EXACT_DERIVATION.md	pair-relative network theorem
13cc3465ba8d6e2a7ddf399237a3a7037bbe2cfec54a88256bf24dd5157dfa9b	udt_g171_primary_metric_multi_pair_response_2026-08-19/AUDIT_REPORT.md	G171 bounded landing
9971f49de229cca9d295ad647afdd3187a6657b9e727d59e64c2d00046a05d8b	udt_g171_primary_metric_multi_pair_response_2026-08-19/STATUS_LEDGER.tsv	G171 open-boundary ledger
