id	path	sha256	role
S01	udt_metric_native_observer_separation_asymptote_audit_2026-07-24/AUDIT_REPORT.md	cf9fe514f7600461136c0aae27d3ccf74bcbfa135ea3699f3cec66a43311053b	transnormal_distance_ruling
S02	udt_metric_native_observer_separation_asymptote_audit_2026-07-24/DERIVATION_RESULT.json	35fca0d028317a208239c9d801ccb8cd340b7d184b07d0e46462c01dbedbefc4	exact_parent_algebra
S03	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/FINITE_CELL_BRANCH_ATLAS.tsv	ff176ddad8eb3822d95faa27e840d8f1f2e91d33e6e340f6c98ada49d77f2c77	twelve_completion_family_universe
S04	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/AUDIT_REPORT.md	25e6b85882d27e746826d124baf61235a22360ccc28ae4f545bd24d6da48c433	completion_witness_availability
S05	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	completion_taxonomy
S06	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	global_assembly_limits
S07	udt_involutive_exchange_branch_availability_audit_2026-07-24/BRANCH_EQUATION_FAMILY_REGISTRY.tsv	d0054dd11fb5a7bffc6f3757e3e826f9b4e1d3d789189a08db42dc74552da863	twenty_eight_family_universe
S08	udt_involutive_exchange_branch_availability_audit_2026-07-24/FAMILY_GATE_MATRIX.tsv	7ffff70ce237df3c1b13f7ac242c79c94d27873218c50f4580b7eb2e2f36b8ca	prior_witness_gates
S09	udt_involutive_exchange_branch_availability_audit_2026-07-24/STRONGEST_WITNESS_AUDIT.md	a63e9c4596eab1595c95fa9e580d0691ffd2391df5780321f7e098d53e391031	B19_near_pass_scope
S10	udt_motif_hopf_correspondence_audit_2026-07-22/AUDIT_REPORT.md	d67c3b812e2fe8f6d31cf4a544b47d86a2d87c4b81ca2cc7aa81ea638d86ea82	reciprocal_toric_metric_and_phi_eta_map
S11	c2_nonlinear_stationary_solution_space_2026-07-20/AUDIT_REPORT.md	3fba215cf9a7382accec44fbedf3b78b4c1f10d25ad0fcf785269f33e633c895	round_capped_conditional_solution
S12	c2_nonlinear_stationary_solution_space_2026-07-20/PREREGISTRATION.md	dbd589b79b4e71ee97b68cf9fd6c5fa81fe330e96670f16184b5095bfaaf5c91	full_N_H_S_W_ansatz_and_premises
S13	c2_variable_lapse_selector_2026-07-20/AUDIT_REPORT.md	f469c03d09c54b0aae957ac657fe15090e25069d86b15470f71f0d50b5c9622b	round_branch_clock_lapse_scope
S14	simple_metric_xmax_POSTULATE.md	35bb2a2d6d01cb48287e218902d087cf954e4c9eeda3142f865731742e8e681d	conditional_WRL_and_tanh_history
S15	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	0e7d4f0b8a9e70a2f45fac494ce737fa4d0deaf4824940953377fa39f345c3ee	global_pair_diameter_semantics
