id	premise	status	use_or_limit
P01	metric_native_transnormal_distance_law	DERIVED	a850188_exact_input
P02	clock_dilation_T_equal_exp_Delta_phi	DERIVED_CONDITIONAL	reciprocal_clock_channel_only
P03	physical_separation_nonnegative	OWNER_CORRECTION	all_pair_distances
P04	Xmax_is_maximum_observer_pair_separation	WORKING_OWNER_MEANING	requires_global_diameter
P05	twelve_completion_rows	BOUNDED_COMPLETE_TAXONOMY	not_field_solutions_by_label
P06	twenty_eight_equation_families	BOUNDED_SOURCE_CENSUS	screen_all_exactly_once
P07	WRL_profile	CONDITIONAL_LOCAL_CONTROL	clock_depth_but_no_global_completion
P08	reciprocal_toric_metric	CONDITIONAL_CONTROL	angular_depth_profile_A_free
P09	round_capped_C2_Bach_branch	CONDITIONAL_ON_ACTION_CLASS	complete_metric_cap_control_not_native_action
P10	angular_phi_equals_clock_phi	OPEN_FORBIDDEN_AS_SILENT_JOIN	must_be_metric_soldered
P11	physical_metric_scale	WORKING_OWNER_MOTIVATED	absolute_lengths_need_calibrated_metric
P12	strong_local_CSN	CHALLENGED_NOT_DERIVED	countercontrol_only
P13	action_source_carrier_mass_density_boundary_charge	OPEN_EXCLUDED	no_selection_authority
P14	event_pairing_observer_domain	OPEN_UNLESS_EXPLICIT	required_for_global_pair_distance
P15	G_obs	OBSERVED_DOWNSTREAM_ANCHOR	not_needed_for_kinematic_depth
