claim	status	scope_or_limit
registered_FC_rows_with_complete_on_shell_g_phi_witness	ZERO	twelve_row_completion_taxonomy
registered_equation_families_with_full_global_Xmax_evaluable	ZERO_OF_28	no_single_clock_soldered_complete_pair_diameter_witness
WRL_clock_depth_endpoint	DERIVED_CONDITIONAL_2X	local_radial_proper_depth_not_global_diameter
FC12_transnormal_formula	DERIVED_CONDITIONAL_DPRIME_EQUALS_A	angular_phi_not_clock_soldered_profile_and_caps_open
B19_round_angular_depth_endpoint	DERIVED_CONDITIONAL_PI_B_OVER_4	angular_phi_constant_clock_lapse
B19_round_global_spatial_diameter	DERIVED_CONDITIONAL_PI_B	round_S3_common_scale_b_unselected_not_Xmax
smooth_real_phi_global_transnormal_on_compact_rest_slice	OBSTRUCTED	critical_point_for_each_compact_boundaryless_integrable_rest_slice
pure_time_live_phi_supplies_spatial_distance_depth	REFUTED	spacetime_gradient_may_be_nonnull_but_observer_rest_B_is_zero
global_Xmax	OPEN_NOT_EVALUABLE	complete_clock_soldered_pair_distance_branch_absent
smallest_missing_join	OPEN	one_complete_branch_co_locating_clock_phi_full_angular_geometry_event_pairing_and_global_diameter
