completion_id	global_data_level	primary_classification	complete_g_phi_witness	clock_phi_solder	transnormal_ruling	endpoint_status	diameter_status	smallest_missing_object
FC01_BOUNDARY_BOUNDARY	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	OPEN	BOUNDARY_PROFILE_MAY_SUPPORT_B_POSITIVE_BUT_NONE_SUPPLIED	NOT_EVALUABLE	NOT_EVALUABLE	complete_g_phi_clock_leg_event_pairing
FC02_ONE_CAP_BOUNDARY	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	OPEN	COHOMOGENEITY_ONE_CAP_FORCES_B_ZERO_AT_CAP_GENERAL_FIELDS_OPEN	NOT_EVALUABLE	NOT_EVALUABLE	complete_profile_cap_jets_clock_solder
FC03_TWO_CAP_P0	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	OPEN	STATIC_COMPACT_REAL_PHI_FORCES_B_ZERO_TIME_LIVE_SPATIAL_B_STILL_SLICE_CRITICAL	NOT_EVALUABLE	NOT_EVALUABLE	patchwise_or_asymptotic_pair_space_realization
FC04_TWO_CAP_P1	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	OPEN	STATIC_COMPACT_REAL_PHI_FORCES_B_ZERO_TIME_LIVE_SPATIAL_B_STILL_SLICE_CRITICAL	NOT_EVALUABLE	NOT_EVALUABLE	patchwise_or_asymptotic_pair_space_realization
FC05_TWO_CAP_P_GT1	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	OPEN	STATIC_COMPACT_REAL_PHI_FORCES_B_ZERO_TIME_LIVE_SPATIAL_B_STILL_SLICE_CRITICAL	NOT_EVALUABLE	NOT_EVALUABLE	patchwise_or_asymptotic_pair_space_realization
FC06_NONPRIMITIVE_CAP	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	OPEN	TRUE_SINGULAR_STRATUM_BLOCKS_INVERSE_METRIC_B	NOT_EVALUABLE	NOT_EVALUABLE	regular_resolution_or_explicit_stratified_distance
FC07_PERIODIC_TORUS_BUNDLE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	OPEN	PERIODIC_COMPACT_REAL_PHI_HAS_SPATIAL_CRITICAL_POINT	NOT_EVALUABLE	NOT_EVALUABLE	circle_valued_twisted_or_pair_space_depth
FC08_MIRROR_DOUBLE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	OPEN	COMPACT_DOUBLE_AND_MIRROR_EVEN_BRANCH_FORCE_SPATIAL_B_ZERO	NOT_EVALUABLE	NOT_EVALUABLE	nonordinary_twisted_or_patchwise_depth
FC09_NONORIENTABLE_GLUE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	OPEN	COMPACT_SUBCASES_CRITICAL_BOUNDARY_SUBCASES_PROFILE_DEPENDENT	NOT_EVALUABLE	NOT_EVALUABLE	orientation_twist_profile_and_clock_solder
FC10_STRATIFIED_PROJECTOR	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	OPEN	PROJECTOR_STRATIFICATION_DOES_NOT_SUPPLY_G_PHI_PROFILE	NOT_EVALUABLE	NOT_EVALUABLE	complete_regular_metric_and_depth_profile
FC11_NONINTEGRABLE_DISTRIBUTION	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	OPEN	NONINTEGRABLE_PLANE_MAY_EVADE_SLICE_THEOREM_BUT_IS_NOT_CLOCK_REST_DISTRIBUTION	NOT_EVALUABLE	NOT_EVALUABLE	physical_clock_distribution_and_horizontal_distance
FC12_RECIPROCAL_TORIC_DIAGONAL	CONDITIONAL_CONTROL_NO_COMPLETE_PROFILE_OR_ENDPOINT_SOLUTION	FORMULA_ONLY_PROFILE_OR_ENDPOINT_OPEN	NO_CONDITIONAL_OPEN_PROFILE_CONTROL_ONLY	OPEN	B_EQUALS_A_MINUS_TWO_BUT_A_ENDPOINTS_CAPS_AND_CLOCK_SOLDER_OPEN	DEPENDS_ON_INTEGRAL_OF_A	NOT_EVALUABLE	selected_A_profile_clock_solder_and_global_completion
