family_id	family_label	primary_classification	strongest_relevant_witness	global_Xmax_evaluable	primary_blocker
B01	Exact_C0_C1_foundation	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B02	Final_native_action_adjudication	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B03	P01_canonical_geometry_evaluator	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B04	P02_local_jet_atlas	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B05	P03_founded_constraint_atlas	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B06	P03G_global_kinematic_assembly	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B07	P04_dynamics_branch_ruling	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B08	P05_full_equation_variation	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B09	Time_live_characteristic_flux	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B10	Free_global_seal_transversality	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
