claim_id	layer	object	status	basis	dependency_or_limit	maximum_claim
N01	FOUNDATION	reciprocal determinant-one pair	DERIVED_CONDITIONAL	C0/C1 gives diag(exp(-phi),exp(phi)) from composition, regularity and dual Reciprocity	local Lorentzian readout, representative and physical slots retain their premise stamps	reciprocal exponential comparison structure survives
N02	METRIC_SOLUTION_SPACE	transverse/angular metric block	OPEN	C1 explicitly leaves the transverse spatial block and off-diagonal terms unspecified	no complete metric solution space or boundary law selects that block	angular sector is a legitimate high-leverage open selector locus
N03	CONFORMAL_KINEMATICS	celestial null-direction sphere	CONDITIONAL_DERIVED_FIBER	projectivized null lines of an inherited/conditional 4D Lorentzian conformal metric form S2 and survive positive CSN	no section, time orientation, tangent-fiber comparison or target round metric follows	local fiber compatibility only
N04	TYPE_IDENTITY	existing internal S2 field equals null-direction section	DIRECT_UNFRAMED_IDENTITY_BLOCKED	code treats n as an internal triplet with ordinary derivatives; tangent/null directions transform under local frame changes	requires foliation plus soldering/frame and a connection or intrinsic bundle action	a framed kinematic lift remains possible but conditional
N05	FRAME_TOPOLOGY	component Hopf number of an unframed tangent section	NOT_FRAME_INVARIANT	an exact winding quaternion frame turns constant-axis components into the standard unit Hopf map	an invariant relative charge would require framing/reference/bundle data	existing Q cannot be relabeled as metric-section topology without extra structure
N06	ACTION_COVARIANCE	ordinary-derivative L2+L4 under local frame rotations	NOT_LOCALLY_FRAME_COVARIANT	a position-dependent rotation gives ordinary L2 density theta_x^2 to a constant physical axis; the pure-gauge connection cancels it	no such carrier connection or gauged action is selected by C0/C1	existing static functional remains an internal-target conditional branch
N07	GENERIC_TWO_BLOCK	CSN-normalized positive diagonal two-block	GENERIC_RECIPROCAL_NORMAL_FORM	diag(a^2,b^2)/sqrt(det)=diag(a/b,b/a)	this algebra is generic and cannot by itself select S3, Hopf topology or UDT physics	reciprocal block matching is compatibility, not uniqueness
N08	ANGULAR_HOPF_ROUTE	round S3 Hopf torus orbit block	EXACT_ALGEBRAIC_MATCH	with tan(eta)=exp(2phi), the round-S3 torus block is [2cosh(2phi)]^-1 diag(exp(-2phi),exp(2phi))	C0/C1 currently reads the founding pair through temporal/parallel conversion and does not derive a second copy in two spatial periodic angular slots	first exact representation-level bridge between reciprocal depth and Hopf-coordinate angular geometry
N09	ANGULAR_HOPF_ROUTE	phi reversal	DERIVED_WITHIN_MATCH	phi->-phi exchanges the two Hopf circle scale factors	physical mirror must also exchange the angular slots; not supplied by current finite-cell canon	reciprocity matches the Hopf torus exchange symmetry
N10	ANGULAR_HOPF_ROUTE	round-S3 common scale and radial coefficient	CONDITIONAL_COMPLETION	Omega_H^2=[2cosh(2phi)]^-1 and g_phiphi=sech(2phi)^2 reconstruct the round metric on the principal-orbit region and extend smoothly in eta	Omega_H tends to zero and phi diverges at collapse orbits, outside a globally positive CSN gauge relation; smooth closure also allows non-round interpolations	round S3 is an explicit conformal completion of the interior block, not a complete admissible UDT universe
N11	ANGULAR_HOPF_ROUTE	diagonal U1 Hopf connection	CONDITIONAL_CSN_INVARIANT_CONNECTION	for V=partial_xi1+partial_xi2, A=(e^-2phi dxi1+e^2phi dxi2)/(2cosh(2phi)); the common angular scale cancels	needs two periodic spatial circle slots and selection of the diagonal action	transport/connection candidate is more specific than the celestial-fiber analogy
N12	ANGULAR_HOPF_ROUTE	unit Hopf charge	CONDITIONAL_UNIT_CLASS	phi spanning -infinity to +infinity once with 2pi circle periods and primitive opposite collapses gives integral A wedge dA=-4pi^2 and registered Q=1	global range, periods, collapse cycles, orientation and physical boundary are open	unit charge follows from the completed candidate, not from the local pair alone
N13	ANGULAR_HOPF_ROUTE	diagonal versus anti-diagonal circle	DISCRETE_ORIENTATION_DEGENERACY	the two exchange eigen-combinations give charges +1 and -1 under the registered orientation	current Reciprocity/CSN does not select chirality	absolute unit class may survive while sign remains orientation data
N14	GLOBAL_TOPOLOGY	compact torus-orbit closure	UNDERDETERMINED	primitive collapse-cycle determinant one gives S3 while determinant p gives lens-space alternatives	off-diagonal gluing, periods and endpoint rules are not selected by local C0/C1	local reciprocal geometry does not prove global S3
