current_path	blob_oid	sha256	size_bytes	last_commit	role	load_bearing_use
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	c5732bedb7adb337e57cee72e1ea6fce481984e3	FOUNDATION	C0/C1 status, open transverse block, slot and carrier limits
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	CSN equivalence class and determinant-one pair
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION_SUPPORT	reciprocal exponential block and declared angular readout
UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	ab394adfd7174b39383b2d80f745cd772d9833f2	afeecd68e220074f9609a9488b11cf91532cf708785510a492d0e9814fe4eee1	2015	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	CARRIER_STATUS	reopened working carrier posit
matter_carrier_provenance_audit_results.md	092aa4d2a1c51dad9a7412b278e755d607273181	1ab8731bde54a5966a0cc8b7c9c859647efde22f54ff6923b972fb7d9d59635d	7364	176081822f7299d133c1b3578716d87fedd1fbd3	PROVENANCE	historical free angular slot and internal carrier distinction
reciprocal_line_realization_selector_2026-07-18/DERIVATION_REPORT.md	16626fe67c98c8ea01a80fdd2f81ba8017dc170b	e05cc6b0f124419104dde530305e1cd3779b5e3f7136f59e2000af67812a948e	14772	b3cd93bd92960b89935b9946b88f2e6017195c99	SELECTOR	Lorentz isotropy and coframe nonuniqueness
copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	25ee26679a881397c6a4e9ff2713a023b74b88c8	5f3d9472388e9012af2b63d548bfbf91808a800b016d6c8e31be85dea6c2e2f0	13052	b083deea5711aa4dc6f571036114e5304272955d	COPRESENCE	whole-solution versus causal reachability and conformal cones
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	776220ebee57c9a55e82db8cf1dc832d951be0d6	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290	2934c5378fdffd239f86dc270184c3190c41b881	PRIOR_AUDIT	celestial S2 fiber and upstream selector seam
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	116641cefac6533b3043e268840ee1518738dc4f	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	4226	2934c5378fdffd239f86dc270184c3190c41b881	PRIOR_LEDGER	premise-stamped topology statuses
hopfion_arc_scripts_2026-07-05/fs_hopfion.py	7165eff497b6b5221c15b1f48c195fe319626fe3	7a9dcf021a23cd663bb484e435ee716084e38999f0629b294790aca77e15b748	11645	74ee34de414667b3c6ee77261a6b348541f0ef37	IMPLEMENTATION	internal triplet, Hopf seed, ordinary derivatives and charge
noNull_energy.py	c1529d1f6196123b412c11123618f45d5a9c5366	53110844b3925b9b46bb48a3865f1bf9f60290efdd01a5830e0e388aeb477444	9573	d131557424ade84f4567b822722b840010cbf238	IMPLEMENTATION	corrected ordinary-derivative L2+L4 continuum functional
simple_metric_angular_on_solution_space_MAP.md	b80df5a1c04c646187a985a020c95fb700893e96	c1ba6d1e6d46f53f945b5cddcf89a81524651c64b3f81eca9b04047ec8f040d7	7082	072e3d50b87808b5cb99f2d9660a0d735f918669	ANGULAR_HISTORY	chosen angular-on reciprocal slice and geometric coupling map
simple_metric_angular_on_L_multipole_results.md	11dbe04e652979c9167bf52efcce716e46e293d2	89a859e744d8e6cef7eb3cd3de713c4ad3a3424658e4f542926bab9a1e4ca42a	4537	072e3d50b87808b5cb99f2d9660a0d735f918669	ANGULAR_EVIDENCE	conditional wall-loud scalar multipole result
native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	8676	ded310a8e997c0220d35b0620ae1ac4d45b1e106	ACTION_STATUS	current action/carrier/boundary status split
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	492571f8a83fba07ce90551ee826194df13765a0	4d6dbe9233aa58fea4781bd7a1df13be88345d2c6dff936685879a0dea2c5b68	10665	715fa57767ecc2ec370599ad18cd9f87911798d8	FRONTIER	current controlling scientific status before this audit
