item	status	role	maximum_consequence
complete Lorentzian metric	pinned-by-THEORY__G296_G312	primitive local geometry	data are metric hypersurface germs
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	bounded response postulate	not derived and not canon
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response constitution	not a selected GR solution
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	local finite-jet response	hidden remote-history local response excluded
Ric_ab=Lambda g_ab and dLambda=0	pinned-by-THEORY__BOUNDED_G312_G313	active conditional vacuum equation	one connected scalar sector and multibranch solutions
spacelike Cauchy presentation	CHOSE_CATEGORY_A_METHOD	constraint and evolution interface	no preferred foliation
intersecting-null presentation	CHOSE_CATEGORY_A_METHOD	characteristic constraint interface	no preferred null population
Gauss-Codazzi and Raychaudhuri identities	pinned-by-MATHEMATICS	geometric projection methods	no imported physical equation
lapse shift coordinates null parametrization	FREE_GAUGE_DATA	presentation freedom	not physical initial data
spatial metric and second fundamental form	free-and-explored-subject-to-derived-constraints	spacelike conditional data	no roundness or topology filter
null screen conformal/shear and compatible corner data	free-and-explored-subject-to-derived-constraints	characteristic conditional data	no selected radiation or branch
Lambda	FREE_CONNECTED_CONSTANT_OR_INFERRED_FROM_LAWFUL_DATA	sector label	no calibrated magnitude scale or X_max
standard local Cauchy and characteristic existence theorems	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	propagation theorem only	no UDT ownership or global completion
topology boundary global completeness	OMITTED_OPEN	outside bounded local interface	no global history verdict
source matter mass action observation fit scale physical X_max	OMITTED_OPEN	forbidden inputs	no physical selection or calibration
protected local packages	OMITTED_PROTECTED	not inspected	no dependency
