object	status	maximum_claim	open_boundary
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded trace-free response consequence	not derived or canon
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded constitution premise	extension and canon
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	local finite-jet response	extension and canon
Ric_ab=Lambda g_ab	DERIVED_CONDITIONAL_IN_ACTIVE_BOUNDED_ARENA	complete local metric evolution equation	outside-G312 sectors source matter boundary
Cauchy Hamiltonian constraint	DERIVED_CONDITIONAL	H=2Lambda	global constraint solution space
Cauchy momentum constraints	DERIVED_CONDITIONAL	M_i=0	global constraint solution space
ADM lapse and shift	FREE_GAUGE_DATA	coordinate presentation	no physical selection
generic local physical data count	DERIVED_CONDITIONAL_BOUNDED	four phase-space functions or two configuration modes plus rates	global moduli degeneracies boundaries
same-null Raychaudhuri	DERIVED_CONDITIONAL	Lambda cancels from Ric(ell,ell)	caustics nonaffine twist and singular data
mixed-null projection	DERIVED_CONDITIONAL	Ric(ell,k)=-Lambda when normalized	complete double-null formalism
characteristic development	CONDITIONAL_MATHEMATICAL_IMPORT	local propagation for lawful regular data	global and singular completion
pair reciprocal evaluator	DERIVED_CONDITIONAL_DOWNSTREAM	reads supplied evolved metric and germ	population and complete extension
initial or characteristic data	SUPPLIED_LAWFUL_NOT_SELECTED	conditional history input	actualization and bootstrap
G315 conditional data interface	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	constraints free data gauge and local propagation classified	global existence physical data population and optional selector
Lambda	FREE_CONNECTED_CONSTANT_OR_DATA_INFERRED	sector label	magnitude calibration and scale
metric kernel angular observation interfaces	UNCHANGED	no G315 modification	full UDT extension
