path	role
LIVE.md	current authority and G315 next gate
CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise ownership
startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	Universal Reciprocity owner adoption
startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	quiet-GR and Local Metric Sufficiency owner adoption
udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/EXACT_DERIVATION.md	controlling spacelike constraint and principal-system derivation
udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/AUDIT_REPORT.md	conditional PDE theorem and scope caveats
udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	DDR bounded consequence
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	active response-constitution boundary
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	active Einstein arena and exact data witnesses
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	multibranch scope boundary
udt_g314_global_admissibility_actualization_type_classification_2026-09-01/EXACT_DERIVATION.md	conditional dynamics versus optional bootstrap
udt_g314_global_admissibility_actualization_type_classification_2026-09-01/AUDIT_REPORT.md	controlling next-gate reframe
