object	status	scope	open
G110_full_observer_differential	DERIVED_CONDITIONALLY	supplied metric observer and celestial carry	physical history universal query global weights
G111_nonflat_survival	BLIND_VERIFIED_WITH_REPAIRS	192 supplied R17 controls and 1152 directions	R17 ownership finite-ray global continuation
G112_dual_SNe_replay	BLIND_VERIFIED_WITH_CAVEATS	fixed P1 shape conditional isotropic screen and transfer	one-F realization native transfer physical history
metric_native_local_assembly	DERIVED_CONDITIONALLY	H=F* g with distinct pair angular and mixed blocks	physical history source intersection global family
same_ray_phase_space_carrier	ARGUMENT	Jacobi first-variation propagation on one supplied ray	cross-ray source calibration and physical query
static_central_spherical_chord	VERIFIED_WITH_CAVEATS	static spherical radial null matched-screen subclass	general time-live nonspherical and displaced observers
static_P1_center	EXCLUDED_ON_DECLARED_SUBCLASS	exact P1 inward extrapolation as smooth static areal-center metric	annular witness and time-live realization remain open
P1_null_cone_chord	OBSERVED_CONDITIONAL	Pantheon+ calibration and DES cross-reduction non-regression	complete history block allocation source and transfer
common_source_three_observer_gate	PROPOSED	no-solve typed network and path-labelled descent	derivation not yet run
time_live_regular_jet_census	PROPOSED	outcome-blind after query contract	derivation not yet run
