id	role	ownership_or_status	load_bearing_source_or_argument	coverage	open_boundary
G313	accepted metric-family dependency	EXTERNALLY_ACCEPTED_CONDITIONAL_BOUNDED; inherited owner-provisional G312/Universal Reciprocity; exact grades remain registry-owned	G313 AUDIT_REPORT and EXACT_DERIVATION sections1,5,6 at source snapshot	constant real A family, both signs; A=0 control	no actual history, population, scale or general vacuum classification
G351	accepted comparison definitions	OWNER_ADOPTED_PROVISIONAL conservation premise plus accepted conditional measure mathematics	G351 AUDIT_REPORT; EXACT_DERIVATION sections1-3	finite nonnegative smooth label measure on specified finite-area patch; n=s/J	physical supplied mu is not identified by this candidate; no source, singular-count or population selection
G352	accepted comparison definitions	OWNER_ADOPTED_PROVISIONAL clock-rate premise; CHOSEN continuous phase-independent product	G352 AUDIT_REPORT; EXACT_DERIVATION sections1,2,4,7	Gamma=omega*s/(Delta*J); positive affine gauge at fixed current and mu	atomic branch, phase-correlated measures, detector or physical-count identification not supplied
recipe_B	chosen mathematical method	UNADOPTED; coefficient1 on each Weyl/first-dual term; not physical evidence	WORK_ORDER.md; CANDIDATE_ARGUMENT.md sections2-3	full 4D tensor support and root for every real constant A!=0; orientation/sign controls	no theory selection of this recipe or its coefficient; no new field equation
root_current	new mathematical candidate	UNPROMOTED; direct review pending	CANDIDATE_ARGUMENT.md sections2-3	full real future covector uniqueness at fixed recipe; closure, parallelism, nullness and divergence	zero root at A=0; no claim of nondegenerate smooth continuation through flat point or generic perturbations
measure_product	new mathematical candidate and supplied query choices	UNPROMOTED; finite patch V, cross-phase label identification and Delta are CHOSEN	CANDIDATE_ARGUMENT.md section4	local quotient density and one continuous phase-independent product representation; arbitrary smooth graph cuts	geometric amount with area units, not an automatically dimensionless physical count; no canonical populated patch
normalization	new mathematical distinction	UNPROMOTED conditional identities	CANDIDATE_ARGUMENT.md section5	passive coordinates, fixed-current phase gauge, metric homothety and recipe change treated separately	root uniqueness not recipe adoption; homothety not coordinate invariance or scale selection
analytic_coverage	argument not a numerical census	candidate proof requires direct review	CANDIDATE_ARGUMENT.md sections2-5	all constants A!=0 in this exact family and stated local hypotheses	neither tests nor this checklist are completeness theorems
author_symbolic	implementation evidence	SAME AUTHOR/CONTEXT; regression and symbolic recomputation, not independent review	AUTHOR_RUN.json; AUTHOR_RESULT.json; MUTATION_RUNS.json	55 exact guard groups, all256 tensor entries checked where claimed,9 intended mutant catches	shared-code limitations; no physical confirmation or exhaustive mutation coverage
author_rational	finite saved-artifact anchor	SAME AUTHOR/CONTEXT; different arithmetic implementation	recompute_saved_witnesses.py; SAVED_WITNESS_RECOMPUTATION.json	4 saved rational witnesses, Gram areas, rates, phase gauge, finite product amount	does not independently prove full general tensor identity
preservation	operational boundary	46 original unrelated untracked entries preserved at startup; no protected payload inspection	ORIGINAL_UNRELATED_STATUS.txt; WORK_ORDER.md	repository-only task; full premise control separately run	backup completeness and pre-reboot unsaved-state disposition UNVERIFIED; ScratchDisk only blocks archive-dependent tasks
