source_id	path	role
R01	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/AUDIT_REPORT.md	intrinsic twisted clock-ruler result
R02	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	intrinsic pair invariant algebra
R03	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_OUTCOMES.tsv	candidate-by-candidate rulings
R04	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/PROPERTY_GATE_OUTCOMES.tsv	intrinsic pair gates
R05	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/STATUS_LEDGER.tsv	intrinsic pair status
R06	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/derive_intrinsic_pair_witness.py	production invariant algebra
R07	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/verify_intrinsic_pair_independent.py	independent intrinsic-pair replay
R08	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/AUDIT_REPORT.md	finite-cell quotient reduction
R09	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	quotient and transport algebra
R10	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/BRANCH_OUTCOMES.tsv	branch reduction outcomes
R11	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/LAYER_OUTCOMES.tsv	layer ownership outcomes
R12	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/STATUS_LEDGER.tsv	finite-cell reduction status
R13	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/derive_finite_cell_reduction.py	production quotient algebra
R14	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/verify_finite_cell_reduction_independent.py	independent quotient replay
R15	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/AUDIT_REPORT.md	ambient holonomy ruling
R16	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	curvature and holonomy algebra
R17	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/CURVATURE_HOLONOMY.tsv	curvature holonomy census
R18	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/LOOP_HOLONOMY.tsv	loop return evidence
R19	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/STATUS_LEDGER.tsv	holonomy status
R20	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/compute_holonomy_atlas.py	production holonomy algebra
R21	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/verify_holonomy_independent.py	independent holonomy replay
R22	udt_killing_plane_strata_transition_audit_2026-07-28/AUDIT_REPORT.md	Killing-plane strata result
R23	udt_killing_plane_strata_transition_audit_2026-07-28/EXACT_DERIVATION.md	Killing-plane transition algebra
R24	udt_killing_plane_strata_transition_audit_2026-07-28/TRANSITION_ATLAS.tsv	transition strata
R25	udt_killing_plane_strata_transition_audit_2026-07-28/SELECTOR_STRATA.tsv	selector and degeneracy strata
R26	udt_killing_plane_strata_transition_audit_2026-07-28/STATUS_LEDGER.tsv	Killing-plane status
R27	udt_killing_plane_strata_transition_audit_2026-07-28/derive_killing_plane_transition.py	production transition algebra
R28	udt_killing_plane_strata_transition_audit_2026-07-28/verify_killing_plane_transition_independent.py	independent transition replay
