catch_id	mutation_or_control	result
C01	missing_identity	PASS_REJECTED_OR_CONTROL_HELD
C02	duplicate_identity	PASS_REJECTED_OR_CONTROL_HELD
C03	positive_moved_to_general_screen	PASS_REJECTED_OR_CONTROL_HELD
C04	w01_promoted_to_branch_owned	PASS_REJECTED_OR_CONTROL_HELD
C05	w01_not_owned_disclosure_removed	PASS_REJECTED_OR_CONTROL_HELD
C06	w01_formula_removed	PASS_REJECTED_OR_CONTROL_HELD
C07	w01_clock_owner_removed	PASS_REJECTED_OR_CONTROL_HELD
C08	w01_ruler_owner_removed	PASS_REJECTED_OR_CONTROL_HELD
C09	w01_carry_replaced_by_reset	PASS_REJECTED_OR_CONTROL_HELD
C10	w01_open_middle_bridge_erased	PASS_REJECTED_OR_CONTROL_HELD
C11	w01_physical_path_selected	PASS_REJECTED_OR_CONTROL_HELD
C12	w02_promoted_to_complete	PASS_REJECTED_OR_CONTROL_HELD
C13	w02_missing_ruler_hidden	PASS_REJECTED_OR_CONTROL_HELD
C14	toric_projector_promoted	PASS_REJECTED_OR_CONTROL_HELD
C15	historical_fc12_promoted	PASS_REJECTED_OR_CONTROL_HELD
C16	protected_source_inserted	PASS_REJECTED_OR_CONTROL_HELD
C17	physical_scalar_silently_selected	PASS_REJECTED_OR_CONTROL_HELD
C18	exact_control_u1_lorentz	PASS_REJECTED_OR_CONTROL_HELD
C19	exact_control_u2_lorentz	PASS_REJECTED_OR_CONTROL_HELD
C20	exact_control_grading_self_adjoint	PASS_REJECTED_OR_CONTROL_HELD
C21	exact_control_carried_grading	PASS_REJECTED_OR_CONTROL_HELD
C22	exact_control_transition_nonisometric	PASS_REJECTED_OR_CONTROL_HELD
C23	exact_control_strain_exact	PASS_REJECTED_OR_CONTROL_HELD
C24	exact_control_complete_mixing_present	PASS_REJECTED_OR_CONTROL_HELD
C25	exact_control_pair_gram_terminal	PASS_REJECTED_OR_CONTROL_HELD
C26	exact_control_reciprocal_root_multiplier	PASS_REJECTED_OR_CONTROL_HELD
C27	exact_control_composition_exact	PASS_REJECTED_OR_CONTROL_HELD
C28	exact_control_reversal_exact	PASS_REJECTED_OR_CONTROL_HELD
C29	exact_control_coincidence_identity	PASS_REJECTED_OR_CONTROL_HELD
C30	exact_control_unmatched_reset_changes_composite	PASS_REJECTED_OR_CONTROL_HELD
C31	exact_control_clock_only_underdetermines_terminal	PASS_REJECTED_OR_CONTROL_HELD
C32	exact_control_clock_factor_matches_both_completions	PASS_REJECTED_OR_CONTROL_HELD
C33	exact_control_isometric_path_has_identity_strain	PASS_REJECTED_OR_CONTROL_HELD
