branch_id	stable_identity	parent_disposition	intrinsic_clock_scale	intrinsic_ruler_or_grading	owned_geometric_transport	nonisometric_transition	middle_state_rule	terminal_reciprocal_status	degeneracy_or_branch_handling	primary_disposition	scope_caveat	evidence
R01	FC01_BOUNDARY_BOUNDARY	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	OPEN	boundary data absent	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::FC01_BOUNDARY_BOUNDARY:UNSUPPLIED
R02	FC02_ONE_CAP_BOUNDARY	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	OPEN	cap jets and boundary join absent	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETION_DESCENT_ATLAS.tsv::FC02_ONE_CAP_BOUNDARY
R03	FC03_TWO_CAP_P0	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	OPEN	two cap joins absent	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETION_DESCENT_ATLAS.tsv::FC03_TWO_CAP_P0
R04	FC04_TWO_CAP_P1	STRATIFIED_MIXTURE_OWNED	MEMBER_DEPENDENT	MEMBER_DEPENDENT	MEMBER_DEPENDENT	R17_CONDITIONAL_SEMIDIRECT_ASSEMBLY;R18_CLOCK_ONLY;OTHER_MEMBERS_OPEN_OR_ZERO	MEMBER_DEPENDENT	NO_CLASS_WIDE_SCALAR	explicit regular zero-response ambiguity and slice-boundary members	AGGREGATE_MEMBER_DEPENDENT	FC04 is an aggregate; R17 supplies a lawful conditional assembly, not a branch-owned transition.	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv;udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv
R05	FC05_TWO_CAP_P_GT1	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	CONDITIONAL_DECK_TRANSITIONS	UNSUPPLIED	UNSUPPLIED	OPEN	quotient fixed and exceptional strata open	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETION_DESCENT_ATLAS.tsv::FC05_TWO_CAP_P_GT1
R06	FC06_NONPRIMITIVE_CAP	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	OPEN	nonprimitive collapse is singular or orbifold	NO_COMPLETE_REGULAR_BRANCH	No stronger transition owner than the parent typed evidence.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC06_NONPRIMITIVE_CAP
R07	FC07_PERIODIC_TORUS_BUNDLE	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	CONDITIONAL_GL2Z_MONODROMY_GRAPH	UNSUPPLIED	SUPPLIED_M_REQUIRED	OPEN	jet matching schema explicit	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_completion_parameterized_local_fiber_audit_2026-08-01/GLOBAL_DATA_FIBER_GATE_MATRIX.tsv::G07
R08	FC08_MIRROR_DOUBLE	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	CONDITIONAL_SEAM_MAP	UNSUPPLIED	LIFT_CHOICE_UNOWNED	OPEN	fixed-set and seam degeneracies open	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC08_MIRROR_DOUBLE
R09	FC09_NONORIENTABLE_GLUE	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	CONDITIONAL_ORIENTATION_REVERSING_TRANSITION	UNSUPPLIED	SIGN_LOCAL_SYSTEM_UNOWNED	OPEN	orientation and line-sign continuation open	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC09_NONORIENTABLE_GLUE
R10	FC10_STRATIFIED_PROJECTOR	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	UNSUPPLIED	OPEN	rank transition retained but not realized	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC10_STRATIFIED_PROJECTOR
R11	FC11_NONINTEGRABLE_DISTRIBUTION	INSUFFICIENT_TYPED_EVIDENCE	UNSUPPLIED	UNSUPPLIED	PATHWISE_ONLY_IF_METRIC_SUPPLIED	UNSUPPLIED	UNSUPPLIED	OPEN	anholonomy explicit	INSUFFICIENT_TYPED_EVIDENCE	No stronger transition owner than the parent typed evidence.	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md::Global_and_completion_rulings
R12	FC12_RECIPROCAL_TORIC_DIAGONAL	HISTORICAL_PREMISES_CHANGED_REVIEW_REQUIRED	UNSUPPLIED	UNSUPPLIED	CONDITIONAL_PROFILE_TRANSITION	UNSUPPLIED	UNSUPPLIED	OPEN	endpoint cap or boundary class open	HISTORICAL_REDERIVATION_REQUIRED	No stronger transition owner than the parent typed evidence.	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/COMPLETION_PULLBACK_ATLAS.tsv::FC12_RECIPROCAL_TORIC_DIAGONAL;CURRENT_SCIENTIFIC_PREMISES.tsv::G28
R13	Q01_ROUND_S3_B19	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	UNSUPPLIED	UNSUPPLIED	PATHWISE_LEVI_CIVITA_OR_JACOBI_ONLY_AFTER_QUERY	AVAILABLE_ONLY_AFTER_UNOWNED_QUERY_LINE_OR_PRESENTATION_CHOICE	PATH_QUERY_AND_FLAG_UNOWNED	CONDITIONAL_OR_OPEN	isotropy produces line ambiguity	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	The branch does not own the extra query, direction, or selected line needed for a complete transition.	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv::Q01_ROUND_S3_B19
R14	Q02_SQUASHED_S3_OFF_SHELL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	UNSUPPLIED	UNSUPPLIED	PATHWISE_LEVI_CIVITA_OR_JACOBI_ONLY_AFTER_QUERY	AVAILABLE_ONLY_AFTER_UNOWNED_QUERY_LINE_OR_PRESENTATION_CHOICE	PATH_QUERY_OR_ORIENTATION_UNOWNED	CONDITIONAL_OR_OPEN	orientation and operator-choice gates remain	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	The branch does not own the extra query, direction, or selected line needed for a complete transition.	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv::Q02_SQUASHED_S3_OFF_SHELL
R15	Q03_WRL_LOCAL	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	UNSUPPLIED	UNSUPPLIED	LOCAL_ONLY	UNSUPPLIED	NONE	CONDITIONAL_LOCAL_PROFILE_ONLY	global completion absent	NO_COMPLETE_REGULAR_BRANCH	No stronger transition owner than the parent typed evidence.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::Q03_WRL_LOCAL:LOCAL_RADIAL
R16	Q04_PHYSICAL_XMAX_JOIN	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	UNSUPPLIED	UNSUPPLIED	ABSENT	UNSUPPLIED	NONE	OPEN	absent configuration	NO_COMPLETE_REGULAR_BRANCH	No stronger transition owner than the parent typed evidence.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::Q04_PHYSICAL_XMAX_JOIN:NONE;CURRENT_SCIENTIFIC_PREMISES.tsv::G14
R17	W01_TWISTED_RECIPROCAL_S3	PATH_BRANCH_GROUPOID_OWNED	KILLING_NORM_N=C_E_EXP_MINUS_PHI__ENDPOINT_RATIO_OWNED	GLOBAL_INTRINSIC_PU_PN_H_AND_X_LAMBDA_MINUS_PU_PLUS_PN_PLUS_LAMBDA_H	LEVI_CIVITA_PATH_U_GAMMA_WITH_FULL_AMBIENT_MIXING_AND_HOLONOMY	CONDITIONAL_ASSEMBLY_A_GAMMA=U_GAMMA_EXP[DELTA_K(P,Q)X_P]__NOT_BRANCH_OWNED	CONDITIONAL_TARGET_GRADING_IS_PATH_CARRIED__MATCHED_NEXT_LEG_STARTS_FROM_THAT_STATE__OPEN_M_B_TO_INTRINSIC_ENDPOINT	EXACT_COMPATIBILITY_DELTA_RF=PHI_PAIR=DELTA_K_ON_SUPPLIED_CARRIED_FLAG__NOT_PHYSICAL_SELECTION	C01_C06_REGULAR;PATH_LABELS_RETAINED;LOOPS_RETURN_HOLONOMY;RESET_TO_INTRINSIC_ENDPOINT_REQUIRES_OPEN_M_B	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	Lawful only after choosing the semidirect assembly and carried-state groupoid on C01-C06; the branch does not select that comparison law, a physical path, M_B, or a pair surface.	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md;udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md;udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md
R18	W02_STATIC_GENERIC_LAPSE_ROUND_S3	COMMON_CALIBRATED_ATLAS_OWNED	UNIQUE_KILLING_NORM_ENDPOINT_RATIO_OWNED	NO_SAME_BRANCH_INTRINSIC_RULER	ENDPOINT_RATIO_FROM_ONE_SHARED_KILLING_STATE	CLOCK_LINE_SCALE_ONLY	ONE_SHARED_KILLING_CLOCK_STATE	UNDERDETERMINED_UNTIL_RULER_SCALE_OR_TL_EQUAL_1_IS_OWNED	K timelike regular control; ruler absence explicit	PARTIAL_CLOCK_SCALE_TRANSITION_OWNED	A genuine non-isometric clock transition, not a complete reciprocal pair transition.	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv::S04-S05-S10;udt_calibrated_pair_map_owner_atlas_2026-08-09/AUDIT_REPORT.md
R19	W03_ULTRASTATIC_S3	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	ZERO_OR_NO_OWNED_NONTRIVIAL_SCALE	CONDITIONAL_OR_PATH_CARRIED_ONLY	ISOMETRIC_PATH_TRANSPORT	NONE__OWNED_PATH_ARROW_IS_METRIC_COMPATIBLE	PAIR_STATE_UNOWNED	ZERO_CONTROL_OR_OPEN	isotropy and zero-response control	ISOMETRIC_PATH_TRANSPORT_ONLY	Path composition and holonomy survive, but every owned linear transport is isometric.	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv::B03;udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv::W03
R20	W04_MULTIPLE_KILLING_CONTROL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	UNSUPPLIED	UNSUPPLIED	EACH_CHOICE_HAS_CONDITIONAL_ENDPOINT_RELATION	AVAILABLE_ONLY_AFTER_UNOWNED_QUERY_LINE_OR_PRESENTATION_CHOICE	NO_OWNER_SELECTS_ONE_MIDDLE_STATE	CONDITIONAL_OR_OPEN	isometry-enhanced ambiguity explicit	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	The branch does not own the extra query, direction, or selected line needed for a complete transition.	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv::W04;udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv::B15
R21	W05_CAUSAL_SLICE_BOUNDARY	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	UNSUPPLIED	UNSUPPLIED	NO_COMPLETE_PATH_ACROSS_DECLARED_STRATUM	UNSUPPLIED	UNOWNED	OPEN	slice-null boundary explicit; four-metric may remain regular	NO_COMPLETE_REGULAR_BRANCH	No stronger transition owner than the parent typed evidence.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::W05:REGISTERED_CONTROL
R22	W06_TWIST_FREE_NONCONSTANT_CLOCK	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	UNSUPPLIED	UNSUPPLIED	CONDITIONAL_ENDPOINT_CLOCK_RATIO	AVAILABLE_ONLY_AFTER_UNOWNED_QUERY_LINE_OR_PRESENTATION_CHOICE	CLOCK_PRESENTATION_SUPPLIED_NOT_METRIC_SELECTED	CONDITIONAL_OR_OPEN	twist-off removes ruler-selection route	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	The branch does not own the extra query, direction, or selected line needed for a complete transition.	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv::W06
R23	GENERAL_SCREEN_S3_REGULAR_FAMILY	PATH_BRANCH_GROUPOID_OWNED	ZERO_OR_NO_OWNED_NONTRIVIAL_SCALE	CONDITIONAL_OR_PATH_CARRIED_ONLY	LEVI_CIVITA_PATH_ARROWS_ON_COMPLETE_COFRAME	NONE__OWNED_PATH_ARROW_IS_METRIC_COMPATIBLE	PATH_STATE_CARRIED_BY_CONNECTION	ZERO_CONTROL_OR_OPEN	detP zero boundary; slice-sign strata; polar chart degeneracy explicit	ISOMETRIC_PATH_TRANSPORT_ONLY	Path composition and holonomy survive, but every owned linear transport is isometric.	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md;udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv
R24	TORIC_DUAL_SYSTOLE_SET_VALUED_FAMILY	STRATIFIED_MIXTURE_OWNED	NONE	UNORDERED_SHORTEST_LINE_SET	SET_EQUIVARIANT_TRANSPORT;SINGLE_LINE_ONLY_INSIDE_TIE_FREE_CHAMBER	NONE__SET_EQUIVARIANT_PROJECTOR_TRANSPORT_ONLY	SET_OWNED_SINGLE_MEMBER_UNOWNED_AT_TIE	NOT_TYPED	tie walls explicitly change singleton to unordered pair	STRATIFIED_PROJECTOR_TRANSPORT_ONLY	Projector transport supplies no clock/ruler density scale.	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv::B08-B09
