source_id	path	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	current premise precedence and G41 guard
S02	CURRENT_SCIENTIFIC_PREMISES.md	current premise explanations
S03	CURRENT_RESEARCH_PROGRAM.md	current scientific route and exclusions
S04	udt_global_relation_family_branch_classification_2026-08-10/AUDIT_REPORT.md	controlling 24-identity classification
S05	udt_global_relation_family_branch_classification_2026-08-10/EXACT_DERIVATION.md	owned global family algebra
S06	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	one-row-per-identity parent ledger
S07	udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	stable branch identities
S08	udt_global_relation_family_branch_classification_2026-08-10/SOURCE_TO_BRANCH_CROSSWALK.tsv	alias closure
S09	udt_global_relation_family_branch_classification_2026-08-10/EXTERNAL_REVIEW.md	accepted delicate ownership rulings
S10	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/AUDIT_REPORT.md	matched composition and middle-state ownership
S11	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	three-observer algebra
S12	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/OVERLAP_OWNERSHIP_ATLAS.tsv	overlap and transition classifications
S13	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/AUDIT_REPORT.md	founding observer-query ownership
S14	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/EXACT_DERIVATION.md	founded character and query type algebra
S15	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/SEMANTIC_OWNERSHIP_ATLAS.tsv	semantic candidate ownership
S16	udt_calibrated_pair_map_owner_atlas_2026-08-09/AUDIT_REPORT.md	pair-map family ownership
S17	udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md	pair-map algebra and no-goes
S18	udt_calibrated_pair_map_owner_atlas_2026-08-09/PAIR_MAP_ATLAS.tsv	66-cell pair-map classification
S19	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	terminal reciprocal evaluator status
S20	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	complete pair-metric decomposition
S21	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/derive_terminal_reciprocal_ce.py	load-bearing terminal algebra
S22	udt_reciprocal_calibration_state_solder_audit_2026-08-09/AUDIT_REPORT.md	calibration-state ownership and local no-go
S23	udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md	calibration line and solder algebra
S24	udt_reciprocal_calibration_state_solder_audit_2026-08-09/SOLDER_CANDIDATE_LEDGER.tsv	candidate transition owners
S25	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md	flag and reciprocal-root ownership
S26	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	flag cocycle algebra
S27	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	static and nonultrastatic branch evidence
S28	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	Killing clock and branch algebra
S29	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv	branch status distinctions
S30	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_OUTCOMES.tsv	W01-W06 witness outcomes
S31	udt_branchwise_projector_holonomy_census_2026-08-01/AUDIT_REPORT.md	projector and holonomy ownership
S32	udt_branchwise_projector_holonomy_census_2026-08-01/EXACT_DERIVATION.md	projector and curvature algebra
S33	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	branch object gates including toric strata
S34	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	general-screen complete family
S35	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	general-screen metric and connection algebra
S36	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	complete S3 witnesses
S37	udt_general_screen_complete_cell_atlas_2026-07-28/PAIR_SCREEN_MIXING_ATLAS.tsv	complete pair-screen mixing
S38	udt_complete_screen_response_branch_atlas_2026-07-28/AUDIT_REPORT.md	concrete branch response scope
S39	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv	W and Q branch response evidence
S40	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv	path holonomy and completion descent
S41	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	complete pair angular/mixing ownership
S42	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	complete pair strain and cocycle-home algebra
S43	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	founding reciprocal depth ownership
S44	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	founding metric-to-depth relation
