item	status	use_in_G303	forbidden_promotion
G295	DERIVED_BOUNDED_TYPE_CLASSIFICATION	law_and_lawful_data_distinction	selected_formula_or_history
G296	DERIVED_BOUNDED_ORDER_CLASSIFICATION	complete_metric_and_curvature_order_home	field_equation
G301_generic	FREE_AND_EXPLORED_CONDITIONAL_CLASS	first_candidate_Cauchy_system	adopted_UDT_vacuum_law
G301_tracefree	FREE_AND_EXPLORED_CONDITIONAL_CLASS	second_candidate_Cauchy_system	adopted_UDT_law
G302	EXTERNALLY_VERIFIED_REPAIRED_BOUNDED_CLASSIFICATION	no_pair_shape_discriminator_and_static_regression	time_live_wellposedness
contracted_Bianchi	STANDARD_GEOMETRY_IDENTITY	differential_consequence	selected_identity_divergence_law
Gauss_Codazzi	STANDARD_GEOMETRY_IDENTITY	Cauchy_constraint_projection	GR_field_equation_import
harmonic_gauge	CHOSE_CATEGORY_A_METHOD	principal_hyperbolic_reduction	physical_preferred_coordinates
local_Cauchy_slab	CHOSE_BOUNDED_SLICE	local_existence_data_classification	global_history_or_completion
gamma_K	FREE_AND_EXPLORED_INITIAL_DATA	full_metric_Cauchy_data_subject_to_derived_constraints	observed_or_unique_data
Lambda	FREE_AND_EXPLORED_CONNECTED_REGION_DATUM	tracefree_solution_sector	cosmological_constant_or_observed_scale
lapse_shift_gauge_sources	FREE_GAUGE_DATA	coordinate_completion	physical_observer_population
W1_W5_W6	WORKING_FOUNDATIONAL_CLARIFICATIONS	reciprocal_evaluation_and_causal_type_guards	evolution_equation
source_action_matter_mass_observation_scale_Xmax	OMITTED	no_role	selector_interpretation_or_fit
boundaries_singularities_topology_change	OMITTED	no_role	global_theorem
protected_packages	EXCLUDED	no_input	citation_evidence_or_reconstruction
