object	status	role	forbidden_promotion
four_dimensional_lorentz_tangent_space	SUPPLIED_CONDITIONAL	local tensor arena	universal physical history
event_and_orthonormal_tetrad	SUPPLIED_CONDITIONAL	component presentation	preferred global frame
algebraic_curvature_value_R	FREE_AND_EXPLORED	supplied zero_jet	generated curvature value
covariant_derivative_curvature_D	FREE_AND_EXPLORED	supplied first_jet candidate	field equation or history law
riemann_pair_symmetries	DERIVED_METRIC_IDENTITY	per_derivative algebraic curvature typing	dynamics
algebraic_first_bianchi	DERIVED_METRIC_IDENTITY	20_component per_direction basis	dynamics
differential_bianchi	DERIVED_METRIC_IDENTITY	neighboring_direction compatibility	value generation
null_tetrad_k_l_s1_s2	CHOSE_NUMERICAL_CONTROL	frozen spanning derivative directions	physical observer or ray population
levi_civita_parallel_comparison	DERIVED_CONDITIONAL_ON_SUPPLIED_PATH	covariant neighboring_event interpretation	preferred path
affine_null_direction	SUPPLIED_QUERY	one_chain screen and phase test	universal light path
quotient_screen_connection	DERIVED_CONDITIONAL_G188	metric screen carry on supplied ray	independent orchestra coefficient
moving_screen_gauge	FREE_AND_EXPLORED	gauge covariance control	physical transport selector
optical_tide	DERIVED_CONDITIONAL_G188	curvature contraction on supplied ray	independent fitted channel
jacobi_phase_generator	DERIVED_CONDITIONAL_G188_G226	first_order phase representation	isolated finite matrix curvature inference
g225_least_turning_map	OMITTED_NOT_PROMOTED	pointwise evaluator only	selected along_path transport
metric_profile_and_history	OPEN	values not supplied by compatibility	claimed selected universe
observer_and_branch_population	OPEN	outside local tensor tile	claimed physical realization
action_source_matter_bootstrap	OMITTED	outside bounded question	imported dynamics
xmax_transfer_observation_mass_signalling	OMITTED	outside bounded question	application or completion claim
