selector_id	selector_type	output_derivative_rank_on_phi	active_profile_selector_rank	outcome	remaining_open
Q01	DERIVED_DEFINITION	NA	0	phi_identity_and_reciprocal_action_fixed	profile_and_variation_law
Q02	OPEN_CONDITION_OR_INEQUALITY	NA	0	rank_determinant_nonzero_defines_open_unique_K_stratum	physical_branch selection
Q03	OPEN_CONDITION_OR_INEQUALITY	NA	0	strict_positive_quotient_condition	boundary_or equality law
Q04	OPEN_CONDITION_OR_INEQUALITY	NA	0	a_kappa_nonzero_selects_twisted_stratum_only	a_value_and physical twist
Q05	DERIVED_DEFINITION	field_valued_output	0	intrinsic_orbit_metric_descends_exactly	universal branch selection
Q06	DERIVED_OUTPUT	1_generic_0_at_lambda_minus_half	0	branchwise_total_orbit_volume_exact	no_native target equality
Q07	DERIVED_OUTPUT	at_most_1_if_regular_else_nonsmooth	0	finite_attained_quotient_diameter_exists	no_identification_with working Xmax
Q08	INCOMPATIBLE_DOMAIN	NA	0	working_unattainable_pair_schema_not_same_as_attained_quotient_diameter	operational pair readout
Q09	DERIVED_DEFINITION	NA	0	anchors_calibrate_units_and_scales_after_length supplied	no_length_mass_or density equation
Q10	OPEN_MISSING_OBJECT	NA	0	no_native_total_mass_or_energy_on_same branch	matter source and normalization
Q11	OPEN_MISSING_OBJECT	NA	0	M_over_Vq_not_executable_and_Vq_not_selected_as_physical_density volume	same_solution total proper density
Q12	ON_SHELL_FILTER	NA	0	bootstrap_architecture_and_admissibility_only	global_local return map
Q13	OPEN_MISSING_OBJECT	NA	0	S3_and_free_action_are_supplied_witness domain	selected completion seal and boundary law
Q14	OPEN_MISSING_OBJECT	NA	0	lambda_and_a_remain_free_configuration parameters	native angular or connection selector
Q15	OPEN_MISSING_OBJECT	NA	0	no_complete_off_shell_response_on_same domain	variation law and action remain open
Q16	DERIVED_OUTPUT	at_most_m_for_m_differentiable_scalars	0	derivative_has_infinite_dimensional_kernel	no_selected targets or singular closure functional
