selector_id	candidate	declared_domain	question
Q01	founded_phi_pair_action	all_founded_reciprocal_pairs	definition_or_profile_selector
Q02	unique_timelike_Killing_line	registered_stationary_stratum	open_property_or_equation
Q03	strict_spatial_regularity	registered_stationary_stratum	inequality_or_equation
Q04	Killing_twist_nonzero	registered_stationary_stratum	connection_property_or_profile selector
Q05	intrinsic_stationary_orbit_metric	free_proper_timelike_K_action	derived_same_branch_geometry
Q06	orbit_space_total_volume	complete_S3_quotient	output_or_selector
Q07	orbit_space_diameter	complete_S3_quotient	output_or_Xmax
Q08	working_Xmax_schema	ordered_observer_pair_space	operational_map_and_selector status
Q09	observed_cE_and_Gobs	calibrated_physical_metric	dimensional_scale_or closure
Q10	native_total_mass_or_energy	complete_same_solution	definition_and availability
Q11	same_solution_total_proper_density	complete_same_solution	definition_and closure status
Q12	bootstrap_global_local_return_map	complete_extended_configuration	fixed_point_or working architecture
Q13	finite_cell_topology_and_seal	complete_branch_and_boundary	selection_or supplied domain
Q14	angular_lambda_and_twist_a	stationary_twisted_family	selected_or free response parameters
Q15	complete_action_variation_or_response	complete_off_shell_configuration	selector availability
Q16	finite_family_of_global_scalar_observables	smooth_phi_configuration space	functional selector rank
