premise_id	object	status	allowed_use	forbidden_promotion
P01	founded_phi_identity_and_pair_action	DERIVED	metric_reciprocal weights	profile_or_variation_law
P02	copresence	WORKING_INTERPRETIVE_FRAME	interpretive stamp	instantaneous signalling
P03	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	covariant relational requirement	isometry_or profile equation
P04	strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	inactive historical comparison	Weyl gauge or scale removal
P05	c_E_and_G_obs	OBSERVED_ANCHORS	dimensional calibration	closure functional
P06	unique_K_twisted_configuration	DERIVED_CONDITIONAL_EXISTENCE	nonempty same_branch arena	physical selection or on_shell status
P07	stationarity_RxS3_free_action	conditional_configuration input	quotient geometry audit	universal topology or dynamics
P08	Xmax	WORKING_GLOBAL_OBSERVER_PAIR_SCHEMA	candidate global limit	quotient diameter identity
P09	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY_HYPOTHESIS	architecture typing	local PDE optimizer or response
P10	S2_carrier	POSIT	excluded	matter source or mass
P11	action_source_boundary_mass_density	OPEN	excluded	closure inputs
P12	complete_whole_solution_law	OPEN	current gate	assumed selector
