gate_id	requirement	pass_condition
G01	premise_precedence	all_current_statuses_match_current premise index
G02	same_branch_domain	all_combined_objects_defined_on_one configuration
G03	orbit_geometry_exact	quotient_metric_derived_without_hypersurface_orthogonality
G04	variation_complete	phi_lambda_R_and_a_dependence explicitly audited
G05	type_separation	definitions_outputs_inequalities_filters_equations separated
G06	functional_rank	infinite_dimensional_kernel_constructed_or rejected exactly
G07	Xmax_ontology	quotient_diameter_and_working_Xmax kept distinct absent proof
G08	density_availability	mass_energy_volume_and_domain requirements explicit
G09	bootstrap_type	on_shell_filter_not_promoted_to_off_shell map
G10	boundary_domain	seal_topology_quotient_and_moving_boundary status explicit
G11	no_imported_selection	no_observation_fit_external source or habitual action
G12	independent_verification	fresh_implementation_and_adversarial review
G13	repository_integrity	frozen_navigation_tests_dirty_metadata pass
