catch_id	corruption_or_overclaim	required_rejection
F01	founded_phi_called_arbitrary_extra_field	PREMISE_FAILURE
F02	metric_definition_counted_as_independent_selector	TYPE_FAILURE
F03	open_inequality_counted_as_local_rank_reduction	RANK_FAILURE
F04	unique_K_existence_called_profile_selection	TYPE_FAILURE
F05	twist_nonzero_called_lambda_or_phi equation	TYPE_FAILURE
F06	hypersurface_orthogonality_assumed_despite_nonzero_twist	GEOMETRY_FAILURE
F07	shift_a_left_in_orbit_metric_after_exact_cancellation	ALGEBRA_FAILURE
F08	quotient_volume_output_assigned_target_without_native law	SELECTION_FAILURE
F09	finite_scalar_output_called_unique_smooth_phi selector_without_kernel_test	RANK_FAILURE
F10	lambda_minus_one_half_volume_degeneracy_omitted	COVERAGE_FAILURE
F11	quotient_diameter_identified_with_unattainable_Xmax	ONTOLOGY_FAILURE
F12	Xmax_operational_readout_silently_chosen	ONTOLOGY_FAILURE
F13	cE_and_Gobs_called_mass_density_equation	DIMENSIONAL_FAILURE
F14	native_mass_or_energy_invented	SOURCE_FAILURE
F15	rho_equals_M_over_V_called_executable_without_M	CLOSURE_FAILURE
F16	bootstrap_on_shell_filter_called_off_shell_return_map	TYPE_FAILURE
F17	boundary_or_seal_frozen_to_manufacture_equation	DOMAIN_FAILURE
F18	conditional_action_response_promoted_to_native selector	PROVENANCE_FAILURE
F19	cross_branch_observables_spliced	DOMAIN_FAILURE
F20	finite_dimensional_witness_count_called_full_functional rank	RANK_FAILURE
F21	SNe_BAO_or_LCDM_data_used_to_define_missing law	SCOPE_FAILURE
F22	density_bracket_or_GPU_solve_launched	SCOPE_FAILURE
F23	physical_profile_Xmax_mass_or_bootstrap_claimed derived	OVERCLAIM_FAILURE
F24	startup_controls_CANON_or_fixed_history_edited	REPOSITORY_SCOPE_FAILURE
