claim_id	status	claim	limit
S01	DERIVED_CONDITIONAL	unique_K_stationary_line_defines_intrinsic_orbit_metric_q	stationary_free_proper_R_action branch
S02	DERIVED_EXACT	q_is_independent_of_shift_a	within_registered twisted coframe
S03	DERIVED_CONDITIONAL	a_survives_in_stationary_connection_curvature_a_kappa_over_cE	coefficient depends on generator and Maurer_Cartan normalization; nonzero twist invariant
S04	DERIVED_CONDITIONAL	branchwise_orbit_volume_and_first_variation exact	complete_S3 quotient and fixed domain
S05	DERIVED_EXACT	volume_phi_response_rank_is_one_generic_and_zero_at_lambda_minus_half	volume alone not full geometry
S06	DERIVED_BOUNDED	finite_differentiable_scalar_output_derivative_has_infinite_dimensional_phi kernel	local regular rank statement not singular global theorem
S07	DERIVED_BOUNDED	unique_K_twisted_conditions_leave_open_infinite_dimensional_profile neighborhood	current witness stratum only
S08	DERIVED_CONDITIONAL	compact_quotient_diameter_is_finite_and_attained	variation may be nonsmooth
S09	OPEN_TYPE_GAP	quotient_diameter_equals_working_unattainable_Xmax	operational pair readout absent
S10	DERIVED_EXACT	cE_and_Gobs_alone_make_neither_length_nor_density	dimensional statement only
S11	OPEN	native_total_mass_energy_and_same_solution_density	volume now available but M absent
S12	WORKING_ON_SHELL_ADMISSIBILITY_HYPOTHESIS	bootstrap_two_arrow_architecture	no_selected_R_no_A_and_no_return map
S13	VERIFIED_WITH_CAVEATS	active_same_branch_profile_selector_rank_zero	bounded frozen selector universe
S14	OPEN	physical_phi_profile_lambda_a_R_topology_Xmax_and_whole_solution law	no selection made
S15	WORKING	copresence	interpretive frame only
S16	NOT_DERIVED	instantaneous_operational_access	no signalling result
S17	DERIVED_CONDITIONAL	branchwise_orbit_geometry_available_to_future_R_map	no premise selects it as bootstrap observable
S18	DERIVED_EXACT	t_constant_slice_volume_differs_from_orbit_volume_by_shift_factor	slice is supplied not physically selected
