catch_id	result	corruption_or_overclaim
F01	PASS	founded_phi_called_arbitrary_extra_field
F02	PASS	metric_definition_counted_as_independent_selector
F03	PASS	open_inequality_counted_as_local_rank_reduction
F04	PASS	unique_K_existence_called_profile_selection
F05	PASS	twist_nonzero_called_lambda_or_phi equation
F06	PASS	hypersurface_orthogonality_assumed_despite_nonzero_twist
F07	PASS	shift_a_left_in_orbit_metric_after_exact_cancellation
F08	PASS	quotient_volume_output_assigned_target_without_native law
F09	PASS	finite_scalar_output_called_unique_smooth_phi selector_without_kernel_test
F10	PASS	lambda_minus_one_half_volume_degeneracy_omitted
F11	PASS	quotient_diameter_identified_with_unattainable_Xmax
F12	PASS	Xmax_operational_readout_silently_chosen
F13	PASS	cE_and_Gobs_called_mass_density_equation
F14	PASS	native_mass_or_energy_invented
F15	PASS	rho_equals_M_over_V_called_executable_without_M
F16	PASS	bootstrap_on_shell_filter_called_off_shell_return_map
F17	PASS	boundary_or_seal_frozen_to_manufacture_equation
F18	PASS	conditional_action_response_promoted_to_native selector
F19	PASS	cross_branch_observables_spliced
F20	PASS	finite_dimensional_witness_count_called_full_functional rank
F21	PASS	SNe_BAO_or_LCDM_data_used_to_define_missing law
F22	PASS	density_bracket_or_GPU_solve_launched
F23	PASS	physical_profile_Xmax_mass_or_bootstrap_claimed derived
F24	PASS	startup_controls_CANON_or_fixed_history_edited
