constraint_id	object	mathematical_type	independent_equality_rank_on_phi	exact_effect
C01	founded_pair_action	definition	0	fixes_how_phi_enters_metric_not_phi_profile
C02	unique_K_certificate	nonzero_open_condition	0	excludes_degeneracy_locus_locally
C03	strict_quotient_regularity	positive_open_condition	0	excludes_causal_degeneracy
C04	nonzero_twist	nonzero_open_condition	0	excludes_a_zero_stratum
C05	global_smooth_S3_profile	domain_condition	0	retains_infinite_dimensional_Cinfinity_space
C06	orbit_metric_q	field_valued_output_definition	0	q_equals_R2_exp2lambda_phi_screen_plus_R2_exp2phi_axis
C07	orbit_volume_V	scalar_output	0	derivative_rank1_generic_rank0_at_lambda_minus_half_without target
C08	orbit_diameter_Dq	scalar_output_nonsmooth_at_cut_or_ties	0	finite_attained_on_compact_S3_without target
C09	working_Xmax	working_schema_without_operational map	0	cannot_be_identified_with_Dq
C10	cE_Gobs	dimensional_anchors	0	no_length_or_density_from_cG alone
C11	rho_candidate_equals_M_over_Vq	conditional_definition	0	nonexecutable_without_native_M_and_physical_volume selection
C12	bootstrap_A_and_R	working_two_arrow_architecture	0	no_current_return_map_or fixed_point equation
C13	finite_global_scalar_family	differentiable_output_map	0	derivative_kernel_infinite_dimensional_for_finite codomain
C14	complete_action_or_response	open_missing_equation	0	cannot_supply rank before derived
TOTAL	active_current_independent_profile_selectors	bounded_same_branch_total	0	infinite_dimensional_open_residual
