object	status	bounded_result	open_scope
metric_2jet_to_curvature	DERIVED_CONDITIONAL	rank20_kernel80	curvature_values
metric_3jet_to_curvature_derivative	DERIVED_CONDITIONAL	rank60_kernel140	derivative_values
cubic_coordinate_kernel	DERIVED_FIXED_TANGENT_FRAME	full_80_dimensional_kernel	global_coordinate_chart
quartic_coordinate_kernel	DERIVED_FIXED_TANGENT_FRAME	full_140_dimensional_kernel	global_coordinate_chart
normal_2jet_slice	DERIVED_COORDINATE_GAUGE_FIX	20_dimensional_isomorphic_slice	preferred_global_frame
normal_3jet_slice	DERIVED_COORDINATE_GAUGE_FIX	60_dimensional_isomorphic_slice	preferred_global_frame
inverse_H_formula	DERIVED_CONDITIONAL	complete_basis_right_inverse	regional_field
inverse_K_formula	DERIVED_CONDITIONAL	complete_compatible_basis_right_inverse	regional_field
polynomial_metric_witness	DERIVED_CONDITIONAL_SMOOTH_LOCAL	data_dependent_Lorentz_neighborhood	uniform_or_global_neighborhood
G188_G227_G228_projection_bridge	DERIVED_CONDITIONAL	complete_linear_contractions_and_sign	screen_query_or_population
curvature_values	OPEN	not_generated	physical_history
prescribed_regional_curvature_field	OPEN	not_tested	overlap_and_higher_integrability
metric_history	OPEN	not_selected	dynamics_or_other_native_completion
