object	status	role	forbidden_promotion
four_dimensional_lorentz_vector_space	SUPPLIED_CONDITIONAL	local metric-jet arena	global physical history
event_and_tangent_frame	SUPPLIED_CONDITIONAL	fixes component presentation	preferred global frame
eta_diag_minus_plus_plus_plus	CHOSE_COORDINATE_CONTROL	fixed Lorentz frame representative	new physical constant
curvature_convention	CHOSE_AND_FROZEN_SIGN_CONVENTION	direct Christoffel curvature map	physical sign asymmetry
metric_value_g0_equals_eta	PINNED_BY_COORDINATE_GAUGE	locally inertial chart normalization	field equation
metric_first_derivative_g1_equals_zero	PINNED_BY_COORDINATE_GAUGE	locally inertial chart normalization	dynamics
quadratic_metric_coefficients_H	FREE_AND_EXHAUSTIVE	all Sym2 tensor times Sym2 derivative slots	curvature values
cubic_metric_coefficients_K	FREE_AND_EXHAUSTIVE	all Sym2 tensor times Sym3 derivative slots	curvature first-variation values
algebraic_curvature_R	FREE_AND_EXPLORED_G227	target zero jet	generated physical curvature
differential_bianchi_compatible_D	FREE_AND_EXPLORED_G228	target first jet	generated physical variation
cubic_coordinate_transform_A	FREE_AND_EXHAUSTIVE_COORDINATE_GAUGE	locally inertial quadratic-jet kernel	physical field
quartic_coordinate_transform_B	FREE_AND_EXHAUSTIVE_COORDINATE_GAUGE	locally inertial cubic-jet kernel	physical field
geodesic_normal_radial_constraints	DERIVED_COORDINATE_GAUGE_FIX	select normal tensors	physical dynamics
finite_polynomial_metric	CONDITIONAL_REALIZATION_WITNESS	local smooth representative if signature remains Lorentz	global solution or history
null_screen_and_jacobi_projection	DERIVED_CONDITIONAL_G188_G227_G228	consistency projection	independent value generator
metric_values_and_history	OPEN	not supplied by local realization	selected universe
observer_and_branch_population	OPEN	outside point-jet theorem	physical population
action_source_matter_bootstrap_boundary	OMITTED	outside bounded question	imported dynamics
xmax_transfer_observation_mass_signalling	OMITTED	outside bounded question	application or completion claim
