id	premise	status	use_or_limit
P01	Xmax_is_maximum_two_observer_separation	OWNER_CLARIFIED_FRAME_RULE	controlling_definition
P02	no_privileged_center	OWNER_CLARIFIED_FRAME_RULE	no_universal_origin_or_radius
P03	geodesic_distance_from_supplied_h	DERIVED	requires_complete_observer_rest_metric
P04	frame_equivalence_implies_constant_eccentricity	CONDITIONAL	must_be_metric_proved_not_word_assumed
P05	round_S3_b_complete_spatial_metric	CONDITIONAL_CONTROL	action_clock_scale_selection_open
P06	round_common_scale_b	PHYSICAL_UNSELECTED	calibrated_metric_working_branch
P07	WRL_local_clock_depth	CONDITIONAL_LOCAL	no_global_angular_pair_geometry
P08	FC_completion_taxonomy	REGISTERED_INPUT	topology_not_metric
P09	equation_family_registry	REGISTERED_INPUT	no_cross_family_splice
P10	nonround_complete_clock_soldered_witness	OPEN	availability_audited
P11	directional_X_band	OPEN	do_not_invent_without_metric
P12	CMB_relation	OBSERVATIONAL_COMPARISON_OPEN	not_input
P13	action_source_carrier_mass_density	OPEN_ABSENT	no_inference
P14	physical_UDT_Xmax	OPEN	must_join_pair_diameter_and_clock_asymptote
