claim	status	scope
Xmax_definition	OWNER_CLARIFIED_TWO_OBSERVER_GLOBAL_SUPREMUM	no_privileged_center
round_two_point_distance	DERIVED_CONDITIONAL	complete_round_S3_b_spatial_metric
round_observer_frame_equivalence	DERIVED_CONDITIONAL	transitive_round_isometry_group
round_directional_variance	DERIVED_ZERO	complete_round_S3_b_spatial_metric
current_nonround_directional_band	OPEN_NOT_EVALUABLE	off_shell_squashed_control_has_no_full_cut_locus_and_no_on_shell_clock_solder
complete_nonround_metric_configuration	PRESENT_OFF_SHELL_CONTROL	positive_constant_squashing_family
squashed_control_no_privileged_center	DERIVED_CONDITIONAL_METRIC_GEOMETRY	transitive_U2_action_preserves_round_horizontal_metric_and_Hopf_one_form
squashed_control_loop_length_anisotropy	DERIVED_OFF_SHELL_CONTROL	fiber_2pi_b_sigma_horizontal_2pi_b_not_full_cut_band
CMB_relation_to_directional_band	OBSERVATIONAL_COMPARISON_OPEN	not_used_as_selector
physical_UDT_Xmax	OPEN_NOT_EVALUABLE	no_branch_joins_global_pair_diameter_and_clock_asymptote
