completion_id	prior_classification	complete_metric_witness	two_point_distance	directional_band	classification
FC01_BOUNDARY_BOUNDARY	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC02_ONE_CAP_BOUNDARY	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC03_TWO_CAP_P0	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC04_TWO_CAP_P1	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC05_TWO_CAP_P_GT1	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC06_NONPRIMITIVE_CAP	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC07_PERIODIC_TORUS_BUNDLE	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC08_MIRROR_DOUBLE	OBSTRUCTED_SMOOTH_GLOBAL_TRANSNORMAL_CLOCK_DEPTH	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC09_NONORIENTABLE_GLUE	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC10_STRATIFIED_PROJECTOR	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC11_NONINTEGRABLE_DISTRIBUTION	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	NOT_EVALUABLE	TOPOLOGY_OR_COMPLETION_TYPE_NO_COMPLETE_METRIC
FC12_RECIPROCAL_TORIC_DIAGONAL	FORMULA_ONLY_PROFILE_OR_ENDPOINT_OPEN	NO	NOT_EVALUABLE	NOT_EVALUABLE	FORMULA_ONLY_PROFILE_COMPLETION_PAIRING_OPEN
