family_id	family_label	prior_classification	complete_spatial_metric	two_point_distance	classification
B01	Exact_C0_C1_foundation	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B02	Final_native_action_adjudication	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B03	P01_canonical_geometry_evaluator	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B04	P02_local_jet_atlas	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B05	P03_founded_constraint_atlas	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B06	P03G_global_kinematic_assembly	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B07	P04_dynamics_branch_ruling	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B08	P05_full_equation_variation	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B09	Time_live_characteristic_flux	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B10	Free_global_seal_transversality	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B11	Finite_cell_completion_atlas	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	TOPOLOGY_ONLY_NO_COMPLETE_METRIC
B12	Complete_seal_fixed_set_selector	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B13	Complete_coframe_seal_involution	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B14	Complete_lift_mu_closure	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B15	Global_coframe_cocycle	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B16	Global_metric_assembly_atlas	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	NO	NOT_EVALUABLE	TOPOLOGY_ONLY_NO_COMPLETE_METRIC
B17	Complete_connector_assembly	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B18	Angular_toric_closure	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B19	Conditional_C2_Bach_route	CONDITIONAL_DEPTH_EVALUABLE_NOT_CLOCK_SOLDERED	YES_CONDITIONAL	CALCULABLE_ROUND_CONTROL	CONDITIONAL_COMPLETE_ROUND_SPATIAL_METRIC_CLOCK_UNSOLDERED
B20	Conditional_EH_route	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B21	Macro_WRL_SNe_branch	LOCAL_CLOCK_DEPTH_ONLY_NO_GLOBAL_COMPLETION	NO	NOT_EVALUABLE_GLOBALLY	LOCAL_CLOCK_DEPTH_NO_COMPLETE_GLOBAL_SPATIAL_METRIC
B22	Conditional_particle_Hopfion	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B23	Bootstrap_selector_family	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B24	Reciprocal_pair_wall_module	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B25	Time_live_spherical_numerical_branches	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B26	Legacy_pre_July_branches	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B27	Intrinsic_object_Cartan_transport	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
B28	Global_reciprocal_and_Hopf_realization	INELIGIBLE_NO_COMMON_WITNESS	NO	NOT_EVALUABLE	NO_COMPLETE_PAIR_DISTANCE_WITNESS
