gate_id	gate	certification_condition	injected_failure_must_be_rejected
G01	scope	only_current_package_after_preregistration	nonpackage_path
G02	FC_coverage	12_rows_exactly_once	missing_or_duplicate_FC
G03	family_coverage	28_rows_exactly_once	missing_or_duplicate_family
G04	metric_availability	topology_only_never_complete_metric	false_metric_promotion
G05	no_center	distance_is_two_point_no_preferred_origin	radius_promotion
G06	round_distance	d_equals_b_arccos_embedding_dot	wrong_formula
G07	round_cut	all_unit_directions_pi_b	wrong_directional_cut
G08	round_eccentricity	all_observers_pi_b	preferred_observer
G09	round_spread	Delta_X_zero	false_variance
G10	depth_distinction	pi_b_over_4_not_Xmax	factor_four_loss
G11	clock_gate	round_constant_lapse_not_physical_Xmax	diameter_promotion
G12	nonround_band	no_band_without_complete_nonround_metric	invented_variance
G13	CMB	CMB_comparison_remains_open	CMB_selection
G14	source_identity	all_pinned_sources_match	source_mutation
G15	repository	frozen_navigation_tests_dirty_metadata_unchanged	gate_corruption
