downstream_object	prior_status	new_status	basis
associative_calibration_carry	ASSOCIATIVE_CALIBRATION_CARRY_NOT_OWNED	CARRY_ASSOCIATIVITY_DERIVED_ON_MATCHED_ENRICHED_OBJECTS__MIDDLE_IDENTIFICATION_OPEN	ordinary composition is associative after target/source states match
direct_AC_equals_AB_then_BC	implicitly_combined_with_associativity	SEPARATE_CECH_DESCENT_OR_PATH_INDEPENDENCE_CONDITION	triangle product measures direct-versus-composite difference
physical_pair_relation_functor	OPEN	OPEN_BUT_NARROWED_TO_OBJECT_RELATION_FAMILY_AND_TRANSITION_OWNERSHIP	no extra scalar law is needed for the composition operation itself
global_pointwise_phi	OPEN	OPEN_ZERO_SCALAR_PERIOD_DESCENT_ONLY	complete matrix carry does not select scalar projection or zero periods
terminal_pair_phi	DERIVED_ON_SUPPLIED_REGULAR_CALIBRATED_H	UNCHANGED	overlap audit acts upstream of the existing terminal evaluator
complete_phi_orchestra	DERIVED_STRUCTURAL	UNCHANGED_AND_RETAINED_IN_OVERLAP_JACOBIANS	full mixing is carried before readout
c_E	CALIBRATION_NOT_RELATION_SELECTOR	UNCHANGED	local normalization does not identify distinct B states
frame_reciprocity	CONSTRAINT_NOT_SELECTOR	UNCHANGED_AND_SHARPENED_TO_OBSTRUCTION_COVARIANCE	reversal gives inverse/conjugate holonomy but not identity
global_factorization_overlap_noselection	VERIFIED_WITH_CAVEATS	UNCHANGED	factorization presentation freedom and physical transition carry are different questions
WRL_SNe_anchor	CONDITIONAL_COMPATIBILITY_ANCHOR	UNCHANGED	no numerical profile or fit is modified
CMB_FD2	GATED	GATED	no profile eigensolve source weights or spectrum follows
native_action_source_boundary_mass	OPEN	OPEN	outside audit
