sha256	path	source_ref
b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	ea243c7c:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
0995eaa36f5281c0dcd1662b6050950476e1ca992f59e18840ec9dc9aca0da60	udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md	ea243c7c:udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md
3a81c5c5b6c23218d9bfe26135c6b8225e0e41235aac712dfbdae5b53b4006fe	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md	ea243c7c:udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md
ce96774a1dcdefb690f716a6c69aa6cdf5c155e6cff051137f8efe9b0eb1a77c	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	ea243c7c:udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md
bbf8e91b5f6c594bd12f6c407bca2b9be4fdb3232cbe5c817d814effe863a79f	udt_global_phi_ownership_overlap_audit_2026-08-05/AUDIT_REPORT.md	ea243c7c:udt_global_phi_ownership_overlap_audit_2026-08-05/AUDIT_REPORT.md
96f8c7e4b9b56f47ca8fdb800cb851f60ced751273c80335e4a90a7b4f3bf7f5	udt_global_phi_ownership_overlap_audit_2026-08-05/EXACT_DERIVATION.md	ea243c7c:udt_global_phi_ownership_overlap_audit_2026-08-05/EXACT_DERIVATION.md
eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	ea243c7c:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md
8045a1a26727812289fff57e9a958df6fd4ff8e997db6fc3576cbc2b845cb598	udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md	ea243c7c:udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md
fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	ea243c7c:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md
eef6633d11a7cce49c527d3560676794fae6ca52036dd9c4ee4b1b92410c1650	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/STATUS_LEDGER.tsv	ea243c7c:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/STATUS_LEDGER.tsv
b965112f2e8250a4a11721102f7edae5b1636be2d836241e1c3e1f482f3e9422	udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md	ea243c7c:udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md
0832319f4f9462bd0f6ef9278e5ba42b90bd168e7a3c68e7b175d62ca8f6cdaa	udt_calibrated_pair_map_owner_atlas_2026-08-09/PAIR_MAP_ATLAS.tsv	ea243c7c:udt_calibrated_pair_map_owner_atlas_2026-08-09/PAIR_MAP_ATLAS.tsv
7d09867911a03ad7214c200e0588a988204db9c968b48f0586de49451b17bd4c	udt_calibrated_pair_map_owner_atlas_2026-08-09/STATUS_LEDGER.tsv	ea243c7c:udt_calibrated_pair_map_owner_atlas_2026-08-09/STATUS_LEDGER.tsv
b41d49db51888523b99c14a83c632fd5c45ea7592eb0e4fbc4ab1016be69e93f	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/EXACT_DERIVATION.md	ea243c7c:udt_founding_pair_relation_functor_ownership_audit_2026-08-09/EXACT_DERIVATION.md
be4224fdd5d48f40ccb412a557f5514cd21c35b444c789fad6a0da99d55633db	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/STATUS_LEDGER.tsv	ea243c7c:udt_founding_pair_relation_functor_ownership_audit_2026-08-09/STATUS_LEDGER.tsv
07bb597cfb3dfad110538a2ada8c3bc8e176078704bf70ba17ca76c2100bf43a	CURRENT_SCIENTIFIC_PREMISES.tsv	ea243c7c:CURRENT_SCIENTIFIC_PREMISES.tsv
07dcd6f237d1afac0ac338bae3da29e1e088a93223e90ee3d791c8d52a6a2886	CURRENT_RESEARCH_PROGRAM.md	ea243c7c:CURRENT_RESEARCH_PROGRAM.md
