case_id	case_name	axis_id	axis_name	disposition	basis
C01	genuine_common_pair_atlas	A01	object_and_arrow_type	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	Objects are calibrated chart germs and arrows are genuine overlap transitions.
C01	genuine_common_pair_atlas	A02	metric_derivation_ownership	SUPPLIED_TRANSITION_CLOSES_CARRY_CONDITIONALLY	The metric supplies pullbacks after the common atlas/query is supplied.
C01	genuine_common_pair_atlas	A03	overlap_existence	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	A regular open triple overlap is part of this case.
C01	genuine_common_pair_atlas	A04	jacobian_chain	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	The ordinary Jacobian chain rule gives J_BC J_AB=J_AC.
C01	genuine_common_pair_atlas	A05	metric_pullback_compatibility	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	One tensor field obeys h_A=J_AB^T h_B J_AB on every overlap.
C01	genuine_common_pair_atlas	A06	middle_calibration_identification	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	The common chart object makes the target B germ equal to the source B germ.
C01	genuine_common_pair_atlas	A07	common_scale_and_reciprocal_reset	COMMON_SCALE_PRESENTATION_ONLY	Coherent endpoint presentation changes cancel in the transition cocycle.
C01	genuine_common_pair_atlas	A08	angular_mixing_retention	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	The full Jacobian chain retains every mixing entry.
C01	genuine_common_pair_atlas	A09	terminal_depth_and_scalar_projection	SCALAR_PROJECTION_NOT_OWNED	Full matrix descent does not by itself select a reciprocal scalar character.
C01	genuine_common_pair_atlas	A10	triple_or_loop_obstruction	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	The Cech triangle product is identity on a genuine atlas.
C01	genuine_common_pair_atlas	A11	reversal_and_frame_reciprocity	RECIPROCITY_COVARIANT_NOT_SELECTOR	Reversal inverts transitions and preserves closure without selecting the atlas.
C01	genuine_common_pair_atlas	A12	maximum_justified_landing	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	Carry is exact for this supplied common-atlas type.
C02	separately_parameterized_same_surface	A01	object_and_arrow_type	SUPPLIED_TRANSITION_CLOSES_CARRY_CONDITIONALLY	Objects are separate parameterizations of one supplied image with explicit transition maps.
C02	separately_parameterized_same_surface	A02	metric_derivation_ownership	SUPPLIED_TRANSITION_CLOSES_CARRY_CONDITIONALLY	The common image and inverse chart maps are supplied; their Jacobians are derived.
C02	separately_parameterized_same_surface	A03	overlap_existence	SUPPLIED_TRANSITION_CLOSES_CARRY_CONDITIONALLY	Invertible overlaps exist by the case declaration.
C02	separately_parameterized_same_surface	A04	jacobian_chain	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	Differentiating chart composition gives the exact chain.
C02	separately_parameterized_same_surface	A05	metric_pullback_compatibility	ASSOCIATIVE_CARRY_DERIVED_FOR_GENUINE_COMMON_ATLAS	Pullbacks agree under the explicit transitions.
C02	separately_parameterized_same_surface	A06	middle_calibration_identification	SUPPLIED_TRANSITION_CLOSES_CARRY_CONDITIONALLY	The transition identifies the two B presentations.
C02	separately_parameterized_same_surface	A07	common_scale_and_reciprocal_reset	COMMON_SCALE_PRESENTATION_ONLY	Coherent chart/frame changes do not change identity versus obstruction.
