path	first_commit_date	reason
.claude/skills/no-shortcuts/SKILL.md	2026-06-23	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
.claude/skills/solution-space-not-imposition/SKILL.md	2026-06-25	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
.claude/skills/solver-first/SKILL.md	2026-06-23	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
AUDIT.md	2026-06-15	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
CANON.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
CLAUDE.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	2026-06-27	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
F0_SYSTEMATIC_AUDIT_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
F2_matter_action_forcedness_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
F4_seal_boundary_MAP.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
F5_critical_universe_closure_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
F6_postulate_A_ledger_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
F7_scale_bridge_native_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
F8_metric_choices_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
GR_NUMERICS_RESEARCH_2026-06-29.md	2026-06-29	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
HANDOFF.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
HANDOFF_ARCHIVE.md	2026-06-17	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
INDEX.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
LIVE.md	2026-06-23	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
MATTER_SECTOR_MAP_new_foundation.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
NEGATIVES_REGISTRY.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
P5e_proper_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
PROVENANCE.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
SOLVER_INTEGRITY_UPGRADES_SPEC.md	2026-06-23	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
STATE.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
angular_completeness_results.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
b1prime_3d_offround_residual.py	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
dimension_ladder_null_audit.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
exterior_cavity_results.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
external_input_notes.md	2026-06-14	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
free_s2_matter.py	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
kap8_characterization_complete_solver_results.md	2026-06-27	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
legacy_hadron_survivor_filter.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
lepton_ladder_falsification_contract.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
mass_emergence_canonical_geometry.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
matter_amplitude_native_MAP_2026-06-29.md	2026-06-29	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
matter_regrade_derived_operator_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
measure_fork_results.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
n_derivation_results.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
native_stabilizer_results.md	2026-06-14	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
native_stabilizer_verifier_results.md	2026-06-14	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
negative_phi_native_geometry.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
nonstationary_opener_results.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
p1_residual_general_einstein.py	2026-06-19	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
p2_operator_from_action_results.md	2026-06-23	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
p3_discipline_skills_results.md	2026-06-23	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
p4_time_live_results.md	2026-06-20	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
p5_solver_survey_results.md	2026-06-20	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
particle_spectrum_native_geometry.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
pde_p1_results.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
phase1_geon_results.md	2026-06-18	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
phase2a_rotation_results.md	2026-06-18	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
relativistic_metric_rederivation_results.md	2026-06-18	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
scale_symmetry_bootstrap_analysis_results.md	2026-06-21	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
solution_space_map.md	2026-06-13	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
sourced_second_jet_results.md	2026-06-11	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
tests/test_operator_from_action.py	2026-06-23	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
udt_canonical_geometry.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
udt_gravity_sector_rederivation_results.md	2026-06-18	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w2_uncovering_results.md	2026-06-12	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w3_results.md	2026-06-12	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w4_results.md	2026-06-12	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w5_results.md	2026-06-12	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w6_results.md	2026-06-13	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w7_results.md	2026-06-13	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w8_results.md	2026-06-13	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w_alg_results.md	2026-06-12	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
w_stiffness_results.md	2026-06-12	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
weld_status_results.md	2026-06-10	PRE_JULY_SEED_EXCLUDED_UNLESS_TRANSITIVELY_NAMED_BY_CURRENT_SOURCE
