criterion	audit_stamp	evidence	remaining_open
FIELDS	COVERED_AS_REGISTERED_SCOPE	complete metric coframe founded pair and positive screen data already supplied by each branch	no new matter field or independent scalar variation
ACTION_TERMS	COVERED_AS_REGISTERED_SCOPE	none; atlas is kinematic geometric	all action selection and variation remain open
FULL_EQUATIONS	COVERED_AS_REGISTERED_SCOPE	existing branch equations/status are recorded without replacement	no new equations or on-shell solve
DOMAIN_COORDINATES	COVERED_AS_REGISTERED_SCOPE	every registered branch domain chart and supplied path class	unregistered charts and paths remain outside scope
BOUNDARY_REGULARITY	COVERED_AS_REGISTERED_SCOPE	existing cap seal seam boundary and regularity metadata	no boundary is selected or invented
TOPOLOGICAL_SECTOR	COVERED_AS_REGISTERED_SCOPE	every topology already attached to a registered representative	no topology is privileged or newly imposed
DYNAMICAL_CHARACTER	COVERED_AS_REGISTERED_SCOPE	static stationary off-shell and other existing stamps retained	no time-live evolution
BRANCH_BIFURCATION	COVERED_AS_REGISTERED_SCOPE	every registered complete representative and incomplete template classified	unregistered solution branches remain open
STABILITY_SPECTRUM	EXPLICITLY_OPEN_NOT_TESTED	not tested and explicitly stamped open	all persistence and stability conclusions remain open
REGIME_VALIDITY	COVERED_AS_REGISTERED_SCOPE	fixed repository branch universe and positive-screen domains only	no universal metric-space conclusion
