alias_or_child	canonical_record	relation	merge_policy
B19_ROUND_S3	Q01_ROUND_S3_B19	SAME_REGISTERED_ROUND_CONTROL	ALIASED_BUT_SOURCE_ROWS_RETAINED
Q01_ROUND_S3	Q01_ROUND_S3_B19	SHORT_CONFIGURATION_ID	ALIASED_BUT_SOURCE_ROWS_RETAINED
Q02_SQUASHED_S3	Q02_SQUASHED_S3_OFF_SHELL	SHORT_CONFIGURATION_ID	ALIASED_BUT_SOURCE_ROWS_RETAINED
C01-C06	W01_TWISTED_RECIPROCAL_S3	PARAMETER_SAMPLES_IN_COMPLETE_TWISTED_FAMILY	CHILD_STRATA_RETAINED
C07	W06_TWIST_FREE_NONCONSTANT_CLOCK	TWIST_OFF_PARAMETER_CONTROL	RELATED_NOT_IDENTIFIED
C08	W03_ULTRASTATIC_S3	DEPTH_OFF_PARAMETER_CONTROL_WITH_TWIST_PARAMETER_RETAINED	RELATED_NOT_IDENTIFIED
W01	FC04_TWO_CAP_P1	COMPLETE_S3_REALIZATION	INSTANCE_NOT_CLASS
W02-W06	FC04_TWO_CAP_P1	S3_CONTROLS_OR_BOUNDARY_STRATA	INSTANCE_OR_STRATUM_NOT_CLASS
Q03_WRL_LOCAL	NONE	INCOMPLETE_LOCAL_PROFILE	DO_NOT_SPLICE_WITH_COMPLETE_BRANCH
Q04_PHYSICAL_XMAX_JOIN	NONE	ABSENT_CONFIGURATION	DO_NOT_INVENT
