record_id	parent	completion	metric_status	path_class	path_scope	screen	basis	a	w	s1	s2	mixing	owner	algebra	degeneracy	holonomy	ruling	source
FC01_BOUNDARY_BOUNDARY:UNSUPPLIED	FC01_BOUNDARY_BOUNDARY	FC01_BOUNDARY_BOUNDARY	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC02_ONE_CAP_BOUNDARY:UNSUPPLIED	FC02_ONE_CAP_BOUNDARY	FC02_ONE_CAP_BOUNDARY	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC03_TWO_CAP_P0:UNSUPPLIED	FC03_TWO_CAP_P0	FC03_TWO_CAP_P0	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC04_TWO_CAP_P1:UNSUPPLIED	FC04_TWO_CAP_P1	FC04_TWO_CAP_P1	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC05_TWO_CAP_P_GT1:UNSUPPLIED	FC05_TWO_CAP_P_GT1	FC05_TWO_CAP_P_GT1	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC06_NONPRIMITIVE_CAP:UNSUPPLIED	FC06_NONPRIMITIVE_CAP	FC06_NONPRIMITIVE_CAP	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC07_PERIODIC_TORUS_BUNDLE:UNSUPPLIED	FC07_PERIODIC_TORUS_BUNDLE	FC07_PERIODIC_TORUS_BUNDLE	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC08_MIRROR_DOUBLE:UNSUPPLIED	FC08_MIRROR_DOUBLE	FC08_MIRROR_DOUBLE	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC09_NONORIENTABLE_GLUE:UNSUPPLIED	FC09_NONORIENTABLE_GLUE	FC09_NONORIENTABLE_GLUE	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC10_STRATIFIED_PROJECTOR:UNSUPPLIED	FC10_STRATIFIED_PROJECTOR	FC10_STRATIFIED_PROJECTOR	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC11_NONINTEGRABLE_DISTRIBUTION:UNSUPPLIED	FC11_NONINTEGRABLE_DISTRIBUTION	FC11_NONINTEGRABLE_DISTRIBUTION	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
FC12_RECIPROCAL_TORIC_DIAGONAL:UNSUPPLIED	FC12_RECIPROCAL_TORIC_DIAGONAL	FC12_RECIPROCAL_TORIC_DIAGONAL	COMPLETION_TAXONOMY_ONLY	UNSUPPLIED	NO_METRIC_OR_PATH	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	CLASS_DEPENDENT	OPEN_NO_METRIC_HOLONOMY	BLOCKED_NO_ACTUAL_METRIC_REPRESENTATIVE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
Q01_ROUND_S3_B19:ARBITRARY_GEODESIC	Q01_ROUND_S3_B19	FC04_TWO_CAP_P1	CONDITIONAL_COMPLETE_ON_SHELL_C2_CONTROL	ARBITRARY_GEODESIC_JACOBI	PATH_AND_INITIAL_DATA_UNSUPPLIED	POSITIVE_RANK2_WHERE_PATH_SCREEN_SUPPLIED	PATH_SCREEN_UNSUPPLIED	UNDETERMINED	GAUGE_DEPENDENT	UNDETERMINED	UNDETERMINED	UNDETERMINED	OPTICAL_JACOBI_NOT_LOCAL_COFRAME	UNDETERMINED	CAUSTICS_RETAINED	FULL_SPATIAL_HOLONOMY_so3	BLOCKED_MISSING_PATH_AND_JACOBI_DATA	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/EXACT_DERIVATION.md
Q02_SQUASHED_S3_OFF_SHELL:ARBITRARY_GEODESIC	Q02_SQUASHED_S3_OFF_SHELL	FC04_TWO_CAP_P1	COMPLETE_OFF_SHELL_CONTROL	ARBITRARY_GEODESIC_JACOBI	PATH_AND_INITIAL_DATA_UNSUPPLIED	POSITIVE_RANK2_WHERE_PATH_SCREEN_SUPPLIED	PATH_SCREEN_UNSUPPLIED	UNDETERMINED	GAUGE_DEPENDENT	UNDETERMINED	UNDETERMINED	UNDETERMINED	OPTICAL_JACOBI_NOT_LOCAL_COFRAME	UNDETERMINED	CAUSTICS_RETAINED	FULL_SPATIAL_HOLONOMY_so3	BLOCKED_MISSING_PATH_AND_JACOBI_DATA	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/EXACT_DERIVATION.md
Q03_WRL_LOCAL:LOCAL_RADIAL	Q03_WRL_LOCAL	NONE	LOCAL_STATIC_SPHERICAL_INCOMPLETE	LOCAL_RADIAL	LOCAL_ONLY	LOCAL_SCREEN_ONLY	CENTER_DEPENDENT	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	NONE	UNDETERMINED	GLOBAL_COMPLETION_ABSENT	NONE	BLOCKED_COMPLETE_BRANCH_GATE	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/CONCRETE_REPRESENTATIVE_ATLAS.tsv
Q04_PHYSICAL_XMAX_JOIN:NONE	Q04_PHYSICAL_XMAX_JOIN	NONE	ABSENT	NONE	NONE	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	NONE	NONE	ABSENT	NONE	BLOCKED_ABSENT_CONFIGURATION	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/CONCRETE_REPRESENTATIVE_ATLAS.tsv
W01:NULL_PLUS_ALIGNED	W01_TWISTED_RECIPROCAL_S3	FC04_TWO_CAP_P1	COMPLETE_CONFIGURATION_EXISTENCE_NOT_ON_SHELL	U_PLUS_N_ALIGNED	LOCAL_WHERE_p2=p3=0	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	lambda*p1	-kappa*(alpha - exp(2*phi) + 2*exp(2*lambda*phi))*exp(-phi*(2*lambda + 1))/2	0	0	0	CONGRUENCE_PLUS_CONNECTION	R_I_DIRECT_SUM_so2	GLOBAL_ALIGNMENT_FORCES_dphi_ZERO	DISPLAYED_ROTATION_GAUGE_DEPENDENT	EXACT_LOCAL_TRACE_PLUS_ROTATION	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
W01:NULL_MINUS_ALIGNED	W01_TWISTED_RECIPROCAL_S3	FC04_TWO_CAP_P1	COMPLETE_CONFIGURATION_EXISTENCE_NOT_ON_SHELL	U_MINUS_N_ALIGNED	LOCAL_WHERE_p2=p3=0	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	-lambda*p1	-kappa*(alpha + exp(2*phi) - 2*exp(2*lambda*phi))*exp(-phi*(2*lambda + 1))/2	0	0	0	CONGRUENCE_PLUS_CONNECTION	R_I_DIRECT_SUM_so2	GLOBAL_ALIGNMENT_FORCES_dphi_ZERO	DISPLAYED_ROTATION_GAUGE_DEPENDENT	EXACT_LOCAL_TRACE_PLUS_ROTATION	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
W01:NULL_GENERIC	W01_TWISTED_RECIPROCAL_S3	FC04_TWO_CAP_P1	COMPLETE_CONFIGURATION_EXISTENCE_NOT_ON_SHELL	U_PLUS_OR_MINUS_N_GENERIC	POINTWISE_RAW_NULL_DIRECTION_NOT_PREGEODESIC_IF_SCREEN_GRADIENT_NONZERO	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	plus_or_minus_lambda*p1	omega_plus_or_minus	0	0	(-2*p2,-2*p3)	CONGRUENCE_CONNECTION_AND_OFF_BLOCK_ACCELERATION	SCREEN_BLOCK_NOT_CLOSED	MIXING_ZERO_ONLY_IF_p2=p3=0	NO_GLOBAL_ALIGNED_REDUCTION_FOR_NONCONSTANT_phi	EXACT_PAIR_SCREEN_MIXING	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
W01:ARBITRARY_GEODESIC	W01_TWISTED_RECIPROCAL_S3	FC04_TWO_CAP_P1	COMPLETE_CONFIGURATION_EXISTENCE_NOT_ON_SHELL	ARBITRARY_GEODESIC_JACOBI	PATH_PROFILE_AND_INITIAL_DATA_UNSUPPLIED	PATH_SCREEN_EXISTS_WHERE_REGULAR	PATH_SCREEN_FRAME_CONDITIONAL	UNDETERMINED	GAUGE_DEPENDENT	UNDETERMINED	UNDETERMINED	GENERIC_INTRINSIC_OPTICAL_SCREEN_MISMATCH	OPTICAL_JACOBI_NOT_LOCAL_COFRAME	UNDETERMINED	CAUSTICS_RETAINED;PROPAGATOR_SYMPLECTIC	PATH_HOLONOMY_UNCOMPUTED	BLOCKED_EXPLICIT_NONHOMOGENEOUS_PATH_ATLAS	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
W02:REGISTERED_CONTROL	W02_STATIC_GENERIC_LAPSE_ROUND_S3	FC04_TWO_CAP_P1	COMPLETE_METRIC_NATIVE_STATIONARY_DEPTH_CONTROL	REGISTERED_CONTROL_SCOPE	NO_ADDITIONAL_PATH_SUPPLIED	NO_INTRINSIC_RULER_OR_TWO_SCREEN	UNSUPPLIED_OR_CONDITIONAL	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	NONE	UNDETERMINED	CONTROL_SPECIFIC	UNCOMPUTED	BLOCKED_SCREEN_SELECTION	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv
W03:REGISTERED_CONTROL	W03_ULTRASTATIC_S3	FC04_TWO_CAP_P1	ULTRASTATIC_ZERO_DEPTH_CONTROL	REGISTERED_CONTROL_SCOPE	NO_ADDITIONAL_PATH_SUPPLIED	CONDITIONAL_CHOSEN_HOPF_SCREEN	UNSUPPLIED_OR_CONDITIONAL	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	NONE	UNDETERMINED	CONTROL_SPECIFIC	UNCOMPUTED	CONDITIONAL_HOMOGENEOUS_TRACE_ZERO	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv
W04:REGISTERED_CONTROL	W04_MULTIPLE_KILLING_CONTROL	FC04_TWO_CAP_P1	LINE_NONUNIQUENESS_CONTROL	REGISTERED_CONTROL_SCOPE	NO_ADDITIONAL_PATH_SUPPLIED	NO_UNIQUE_CLOCK_LINE	UNSUPPLIED_OR_CONDITIONAL	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	NONE	UNDETERMINED	CONTROL_SPECIFIC	UNCOMPUTED	BLOCKED_PAIR_SELECTION	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv
W05:REGISTERED_CONTROL	W05_CAUSAL_SLICE_BOUNDARY	FC04_TWO_CAP_P1	SLICE_STRATUM_BOUNDARY	REGISTERED_CONTROL_SCOPE	NO_ADDITIONAL_PATH_SUPPLIED	SCREEN_CAN_REMAIN_POSITIVE_BUT_SLICE_DEGENERATES	UNSUPPLIED_OR_CONDITIONAL	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	NONE	UNDETERMINED	CONTROL_SPECIFIC	UNCOMPUTED	RETAINED_DEGENERACY_NOT_COMPLETE_PATH	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv
W06:REGISTERED_CONTROL	W06_TWIST_FREE_NONCONSTANT_CLOCK	FC04_TWO_CAP_P1	DEPTH_WITHOUT_TWIST_RULER_CONTROL	REGISTERED_CONTROL_SCOPE	NO_ADDITIONAL_PATH_SUPPLIED	NO_INTRINSIC_RULER_OR_TWO_SCREEN	UNSUPPLIED_OR_CONDITIONAL	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	UNDETERMINED	NONE	UNDETERMINED	CONTROL_SPECIFIC	UNCOMPUTED	BLOCKED_SCREEN_SELECTION	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv
C01:NORTH_GENERIC_NULL	C01	FC04_TWO_CAP_P1	PARAMETER_SAMPLE_OF_W01_NOT_ON_SHELL	NORTH_EVENT_U_PLUS_N	POINTWISE_NOT_PREGEODESIC	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	-3/25	FORMULA_IN_W01_WITH_PARAMETERS	0	0	(-1/25,-2/25)	CONGRUENCE_CONNECTION_AND_OFF_BLOCK_ACCELERATION	SCREEN_BLOCK_NOT_CLOSED	p2_and_p3_nonzero	NO_ALIGNED_GLOBAL_REDUCTION	EXACT_SAMPLE_WITH_PAIR_SCREEN_MIXING	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
C02:NORTH_GENERIC_NULL	C02	FC04_TWO_CAP_P1	PARAMETER_SAMPLE_OF_W01_NOT_ON_SHELL	NORTH_EVENT_U_PLUS_N	POINTWISE_NOT_PREGEODESIC	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	-3/50	FORMULA_IN_W01_WITH_PARAMETERS	0	0	(-1/25,-2/25)	CONGRUENCE_CONNECTION_AND_OFF_BLOCK_ACCELERATION	SCREEN_BLOCK_NOT_CLOSED	p2_and_p3_nonzero	NO_ALIGNED_GLOBAL_REDUCTION	EXACT_SAMPLE_WITH_PAIR_SCREEN_MIXING	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
C03:NORTH_GENERIC_NULL	C03	FC04_TWO_CAP_P1	PARAMETER_SAMPLE_OF_W01_NOT_ON_SHELL	NORTH_EVENT_U_PLUS_N	POINTWISE_NOT_PREGEODESIC	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	0	FORMULA_IN_W01_WITH_PARAMETERS	0	0	(-1/25,-2/25)	CONGRUENCE_CONNECTION_AND_OFF_BLOCK_ACCELERATION	SCREEN_BLOCK_NOT_CLOSED	p2_and_p3_nonzero	NO_ALIGNED_GLOBAL_REDUCTION	EXACT_SAMPLE_WITH_PAIR_SCREEN_MIXING	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
C04:NORTH_GENERIC_NULL	C04	FC04_TWO_CAP_P1	PARAMETER_SAMPLE_OF_W01_NOT_ON_SHELL	NORTH_EVENT_U_PLUS_N	POINTWISE_NOT_PREGEODESIC	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	3/100	FORMULA_IN_W01_WITH_PARAMETERS	0	0	(-1/25,-2/25)	CONGRUENCE_CONNECTION_AND_OFF_BLOCK_ACCELERATION	SCREEN_BLOCK_NOT_CLOSED	p2_and_p3_nonzero	NO_ALIGNED_GLOBAL_REDUCTION	EXACT_SAMPLE_WITH_PAIR_SCREEN_MIXING	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
C05:NORTH_GENERIC_NULL	C05	FC04_TWO_CAP_P1	PARAMETER_SAMPLE_OF_W01_NOT_ON_SHELL	NORTH_EVENT_U_PLUS_N	POINTWISE_NOT_PREGEODESIC	POSITIVE_RANK2_INTRINSIC	INTRINSIC_UNORIENTED_SCREEN;DISPLAYED_BASIS_AND_ORIENTATION_CONDITIONAL	3/50	FORMULA_IN_W01_WITH_PARAMETERS	0	0	(-1/25,-2/25)	CONGRUENCE_CONNECTION_AND_OFF_BLOCK_ACCELERATION	SCREEN_BLOCK_NOT_CLOSED	p2_and_p3_nonzero	NO_ALIGNED_GLOBAL_REDUCTION	EXACT_SAMPLE_WITH_PAIR_SCREEN_MIXING	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md
