id	premise	status	role
P01	founded reciprocal phi pair remains the additive clock/ruler channel	pinned-by-THEORY	longitudinal comparison input
P02	positive oriented two-screen exists only where the complete branch supplies it	free-and-explored	decomposition domain
P03	all four screen endomorphism components remain visible	pinned-by-METHOD	prevents scalar-only truncation
P04	screen metric deformation supplies only self-adjoint area and shear	pinned-by-MATHEMATICS	ownership separation
P05	skew rotation requires coframe connection path or transition data	pinned-by-MATHEMATICS	ownership separation
P06	every registered complete branch and path class is included	free-and-explored	candidate universe
P07	branch completeness and on-shell status are separate	pinned-by-METHOD	prevents promotion
P08	orientation and displayed screen basis are chart/coframe conventions	free-and-explored	gauge disclosure
P09	missing path derivative screen or holonomy data remain blocked	pinned-by-METHOD	no invented completion
P10	no particle force Hopf or smooth-cap acceptance criterion enters	pinned-by-METHOD	observe not target
P11	no action source carrier density boundary or scale is supplied	pinned-by-SCOPE	map-only authority
P12	CPU symbolic and bounded evaluation only	pinned-by-SCOPE	compute boundary
P13	pre-July material cannot provide affirmative UDT physics	pinned-by-PROVENANCE_FIREWALL	historical quarantine
P14	c_E and G_obs keep current observational-anchor stamps	pinned-by-THEORY	no scale regression
P15	strong local CSN remains challenged inactive	pinned-by-THEORY	no selector regression
P16	fresh adversarial model verification is unavailable unless separately authorized	pinned-by-SCOPE	maximum evidence grade
