criterion	covered_now	dropped_or_open
FIELDS	complete metric coframe founded pair and positive screen data already supplied by each branch	no new matter field or independent scalar variation
ACTION_TERMS	none; atlas is kinematic geometric	all action selection and variation remain open
FULL_EQUATIONS	existing branch equations/status are recorded without replacement	no new equations or on-shell solve
DOMAIN_COORDINATES	every registered branch domain chart and supplied path class	unregistered charts and paths remain outside scope
BOUNDARY_REGULARITY	existing cap seal seam boundary and regularity metadata	no boundary is selected or invented
TOPOLOGICAL_SECTOR	every topology already attached to a registered representative	no topology is privileged or newly imposed
DYNAMICAL_CHARACTER	static stationary off-shell and other existing stamps retained	no time-live evolution
BRANCH_BIFURCATION	every registered complete representative and incomplete template classified	unregistered solution branches remain open
STABILITY_SPECTRUM	not tested and explicitly stamped open	all persistence and stability conclusions remain open
REGIME_VALIDITY	fixed repository branch universe and positive-screen domains only	no universal metric-space conclusion
