parent	response_rows	coverage	selection_status
C01	2	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
C02	2	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
C03	2	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
C04	2	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
C05	2	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
C06	2	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
C07	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
C08	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC01_BOUNDARY_BOUNDARY	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC02_ONE_CAP_BOUNDARY	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC03_TWO_CAP_P0	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC04_TWO_CAP_P1	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC05_TWO_CAP_P_GT1	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC06_NONPRIMITIVE_CAP	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC08_MIRROR_DOUBLE	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC09_NONORIENTABLE_GLUE	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC10_STRATIFIED_PROJECTOR	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
Q01_ROUND_S3_B19	6	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
Q02_SQUASHED_S3_OFF_SHELL	6	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
Q03_WRL_LOCAL	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
Q04_PHYSICAL_XMAX_JOIN	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
W01_TWISTED_RECIPROCAL_S3	7	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
W02_STATIC_GENERIC_LAPSE_ROUND_S3	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
W03_ULTRASTATIC_S3	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
W04_MULTIPLE_KILLING_CONTROL	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
W05_CAUSAL_SLICE_BOUNDARY	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
W06_TWIST_FREE_NONCONSTANT_CLOCK	1	EXACTLY_ONCE_PER_REGISTERED_PATH_RECORD	NOT_SELECTED
