path	blob	sha256	size_bytes	first_commit_date	discovery_reason	adjudication
.claude/hooks/corral_trigger.py	9020be9a8a3ee77f020534bba6577cadaaad8330	fb2b9eeaa9c06431ec38af993324649deaf7a5a150166757587022a08c73cc0f	5010	2026-06-27	TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv	UNADJUDICATED
.claude/skills/completeness-map/SKILL.md	b09b8ae35cec40db4cebd0f16decc8792fb660b2	8c32d77f33490750c20f9df121917ac4513cefe7662867bc61ea01f70c7c6e13	2262	2026-06-23	TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/SOURCE_CENSUS.tsv	UNADJUDICATED
.claude/skills/no-shortcuts/SKILL.md	97d546927d6c594c84f9402315d001ea88dc4d8a	20eb84d287795ed7f435eca50183a900cf82e4f7b417e0334fb1e8844dc83003	2288	2026-06-23	TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv;TRANSITIVE_FROM:research/_registry/ROOT_OWNERSHIP.tsv;TRANSITIVE_FROM:research/native_action/ROOT_INVENTORY.tsv	UNADJUDICATED
.claude/skills/verifier-before-record/SKILL.md	1b73fde4c6dd141378f91ac1daa0d14773c3a686	c9928f141171e2c5913add6399c2706d25de47a41074db1eac4dc4689742bad5	2369	2026-06-23	TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv	UNADJUDICATED
AGENTS.md	4e25286ea76f207ead4b69743d98011827f5d012	e71461e6fe1c03b4199c8b8217ff8a1070da14cd7640caa6822dcfdc04f28a80	18041	2026-07-17	CONTENT_CONJUNCTION_SEED;TRANSITIVE_FROM:CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_2026-07-19.md;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/SOURCE_CENSUS.tsv;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/build_source_census.py;TRANSITIVE_FROM:c2_variable_lapse_selector_2026-07-20/build_source_census.py;TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv;TRANSITIVE_FROM:scale_breaking_closure_census_2026-07-20/build_source_census.py;TRANSITIVE_FROM:udt_common_scale_neutrality_provenance_audit_2026-07-24/build_source_census.py;TRANSITIVE_FROM:udt_finite_cell_cartan_transport_atlas_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_founded_phi_complete_coframe_extension_audit_2026-07-25/ACTIVE_RESULT_IMPACT_LEDGER.tsv;TRANSITIVE_FROM:udt_frame_bivector_equivariance_audit_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_metric_pure_frame_rederivation_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_metric_pure_frame_rederivation_2026-07-23/SOURCE_UNIVERSE.tsv;TRANSITIVE_FROM:udt_metric_to_frontier_reference_2026-07-22/verify_reference_packet.py;TRANSITIVE_FROM:udt_observer_centered_xmax_frame_correction_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_observer_centered_xmax_frame_correction_2026-07-23/PREMISE_LEDGER.tsv;TRANSITIVE_FROM:udt_observer_centered_xmax_frame_correction_2026-07-23/SOURCE_UNIVERSE.tsv;TRANSITIVE_FROM:udt_phi_metric_ontology_audit_2026-07-22/build_source_census.py;TRANSITIVE_FROM:udt_phi_metric_ontology_audit_2026-07-22/verify_ontology_audit.py;TRANSITIVE_FROM:udt_scientific_consolidation_checkpoint_2026-07-23/rehearse_startup_zero_state.py	UNADJUDICATED
ANGULAR_TORIC_HANDOFF_UPDATE_PREREG_2026-07-19.md	bc4d50d9a2283f3665ed985e3a96c38c24bd36da	19f24688b7c7921ad991781096b4054e826b679380564f51f00c9bb60530b058	2269	2026-07-19	CONTENT_CONJUNCTION_SEED;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/SOURCE_CENSUS.tsv	UNADJUDICATED
AUDIT.md	6246eafd70861645fce959b4e7fb9c66bae3f07e	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec	38255	2026-06-15	TRANSITIVE_FROM:HANDOFF_ARCHIVE.md;TRANSITIVE_FROM:STATE.md;TRANSITIVE_FROM:archive/udt_active_results.md;TRANSITIVE_FROM:macro_spine_provenance_2026-07-06.md;TRANSITIVE_FROM:rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_claude_insert.py;TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv;TRANSITIVE_FROM:udt_canonical_geometry.md	UNADJUDICATED
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	2026-06-10	TRANSITIVE_FROM:F4_seal_boundary_MAP.md;TRANSITIVE_FROM:F5_critical_universe_closure_results.md;TRANSITIVE_FROM:F7_scale_bridge_native_results.md;TRANSITIVE_FROM:H4_N5_whole_cell_criticality_MAP.md;TRANSITIVE_FROM:HANDOFF.md;TRANSITIVE_FROM:LIVE.md;TRANSITIVE_FROM:UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md;TRANSITIVE_FROM:angular_toric_closure_selector_2026-07-19/SOURCE_INVENTORY.tsv;TRANSITIVE_FROM:angular_toric_closure_selector_2026-07-19/build_source_inventory.py;TRANSITIVE_FROM:angular_toric_closure_selector_2026-07-19/verify_angular_toric_selector.py;TRANSITIVE_FROM:archive/LIVE_stage2_static_arc_2026-07-06.md;TRANSITIVE_FROM:archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;TRANSITIVE_FROM:archive/RECON_B_microphysics.md;TRANSITIVE_FROM:archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md;TRANSITIVE_FROM:archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_VERIFY_DISPATCH.md;TRANSITIVE_FROM:archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_VERIFY_DISPATCH.md;TRANSITIVE_FROM:asymptotic_boundary_lineage_audit_2026-07-19/CANDIDATE_UNIVERSE.tsv;TRANSITIVE_FROM:asymptotic_boundary_lineage_audit_2026-07-19/PREREGISTRATION.md;TRANSITIVE_FROM:asymptotic_boundary_lineage_audit_2026-07-19/verify_boundary_lineage.py;TRANSITIVE_FROM:bootstrap_csn_phi_angular_selector_2026-07-19/verify_bootstrap_csn_phi_angular.py;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/SOURCE_ADJUDICATION.tsv;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/SOURCE_CENSUS.tsv;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/build_source_census.py;TRANSITIVE_FROM:c2_nonlinear_stationary_solution_space_2026-07-20/verify_solution_space.py;TRANSITIVE_FROM:c2_variable_lapse_selector_2026-07-20/build_source_census.py;TRANSITIVE_FROM:clock_curvature_selector_audit_2026-07-19/verify_repository_gates.py;TRANSITIVE_FROM:complete_coframe_seal_involution_2026-07-20/verify_complete_coframe_involution.py;TRANSITIVE_FROM:finite_cell_seal_boundary_phase_join_2026-07-20/CLAUSE_TO_BOUNDARY_SLOT.tsv;TRANSITIVE_FROM:finite_cell_seal_boundary_phase_join_2026-07-20/verify_seal_boundary_join.py;TRANSITIVE_FROM:grok/quarantine_free_DA/macro_sector_fork_resolution.md;TRANSITIVE_FROM:native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv;TRANSITIVE_FROM:native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6_DISCLOSURE_CENSUS.tsv;TRANSITIVE_FROM:native_action_sync_audit_2026-07-17/round6_final.md;TRANSITIVE_FROM:native_action_sync_audit_2026-07-17/round7_final.md;TRANSITIVE_FROM:projective_transport_section_selector_2026-07-19/PREREGISTRATION.md;TRANSITIVE_FROM:projective_transport_section_selector_2026-07-19/SOURCE_INVENTORY.tsv;TRANSITIVE_FROM:projective_transport_section_selector_2026-07-19/build_source_inventory.py;TRANSITIVE_FROM:reciprocal_c_clock_channel_correction_2026-07-19/SOURCE_INVENTORY.tsv;TRANSITIVE_FROM:reciprocal_c_clock_channel_correction_2026-07-19/build_source_inventory.py;TRANSITIVE_FROM:reciprocal_c_clock_channel_correction_2026-07-19/verify_repository_gates.py;TRANSITIVE_FROM:reciprocal_metric_null_line_selector_2026-07-19/PREREGISTRATION.md;TRANSITIVE_FROM:reciprocal_metric_null_line_selector_2026-07-19/SOURCE_INVENTORY.tsv;TRANSITIVE_FROM:reciprocal_metric_null_line_selector_2026-07-19/build_source_inventory.py;TRANSITIVE_FROM:regrade_S2_defect_2026-07-04.md;TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv;TRANSITIVE_FROM:research/_registry/ROOT_OWNERSHIP.tsv;TRANSITIVE_FROM:research/macro/ROOT_INVENTORY.tsv;TRANSITIVE_FROM:research/native_action/ROOT_INVENTORY.tsv;TRANSITIVE_FROM:scale_breaking_closure_census_2026-07-20/SOURCE_ADJUDICATION.tsv;TRANSITIVE_FROM:scale_breaking_closure_census_2026-07-20/build_source_census.py;TRANSITIVE_FROM:transverse_reciprocal_realization_selector_2026-07-19/PREREGISTRATION.md;TRANSITIVE_FROM:transverse_reciprocal_realization_selector_2026-07-19/SOURCE_INVENTORY.tsv;TRANSITIVE_FROM:transverse_reciprocal_realization_selector_2026-07-19/build_source_inventory.py;TRANSITIVE_FROM:udt_bootstrap_clock_angular_closure_audit_2026-07-24/verify_repository_gates.py;TRANSITIVE_FROM:udt_complete_physical_comparison_map_audit_2026-07-27/verify_repository_gates.py;TRANSITIVE_FROM:udt_finite_cell_cartan_transport_atlas_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_foundational_semantic_regression_correction_2026-07-26/build_semantic_correction.py;TRANSITIVE_FROM:udt_founded_phi_complete_coframe_extension_audit_2026-07-25/ACTIVE_RESULT_IMPACT_LEDGER.tsv;TRANSITIVE_FROM:udt_frame_bivector_equivariance_audit_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_global_reciprocal_closure_audit_2026-07-20/CLAUSE_LEDGER.tsv;TRANSITIVE_FROM:udt_intrinsic_clock_transverse_solder_audit_2026-07-24/verify_repository_gates.py;TRANSITIVE_FROM:udt_metric_pure_frame_rederivation_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_observer_centered_xmax_frame_correction_2026-07-23/DERIVATION_RESULT.json;TRANSITIVE_FROM:udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/verify_repository_gates.py;TRANSITIVE_FROM:udt_phi_metric_ontology_audit_2026-07-22/AUDIT_REPORT.md;TRANSITIVE_FROM:udt_phi_metric_ontology_audit_2026-07-22/build_source_census.py;TRANSITIVE_FROM:udt_phi_metric_ontology_audit_2026-07-22/verify_ontology_audit.py;TRANSITIVE_FROM:udt_premise_reset_audit_2026-07-19/SEMANTIC_CONFLICT_LEDGER.tsv;TRANSITIVE_FROM:udt_premise_reset_audit_2026-07-19/SOURCE_INVENTORY.tsv;TRANSITIVE_FROM:udt_premise_reset_audit_2026-07-19/build_source_inventory.py;TRANSITIVE_FROM:udt_reduced_holonomy_condition_audit_2026-07-27/verify_repository_gates.py;TRANSITIVE_FROM:xmax_reciprocity_audit_2026-07-19/SOURCE_INVENTORY.tsv;TRANSITIVE_FROM:xmax_reciprocity_audit_2026-07-19/build_source_inventory.py	UNADJUDICATED
CLAUDE.md	d4b22bd7c8a69706e3ef1ba6fec3c27bf1d74956	bff8de2d8c0b539b80ea97ef64d2801438a88cb8480073d173b94c85ce651492	24410	2026-06-10	TRANSITIVE_FROM:.claude/hooks/corral_trigger.py;TRANSITIVE_FROM:SOLVER_INTEGRITY_UPGRADES_SPEC.md;TRANSITIVE_FROM:archive/udt_active_results.md;TRANSITIVE_FROM:archive/udt_validated_results.md;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/SOURCE_CENSUS.tsv;TRANSITIVE_FROM:boundary_bootstrap_representative_selector_audit_2026-07-19/build_source_census.py;TRANSITIVE_FROM:c2_variable_lapse_selector_2026-07-20/build_source_census.py;TRANSITIVE_FROM:export_for_local_llm.py;TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv;TRANSITIVE_FROM:research/_registry/ROOT_OWNERSHIP.tsv;TRANSITIVE_FROM:scale_breaking_closure_census_2026-07-20/build_source_census.py;TRANSITIVE_FROM:udt_canonical_geometry.md;TRANSITIVE_FROM:udt_complete_metric_solution_space_map_2026-07-21/PREMISE_AND_REDUCTION_LEDGER.tsv;TRANSITIVE_FROM:udt_founded_constraint_atlas_p03_2026-07-21/FOUNDATION_INPUT_REGISTRY.tsv;TRANSITIVE_FROM:udt_founded_phi_complete_coframe_extension_audit_2026-07-25/ACTIVE_RESULT_IMPACT_LEDGER.tsv;TRANSITIVE_FROM:udt_phi_metric_ontology_audit_2026-07-22/build_source_census.py;TRANSITIVE_FROM:udt_phi_metric_ontology_audit_2026-07-22/verify_ontology_audit.py	UNADJUDICATED
CODEX_STARTUP_REHEARSAL_2026-07-17.md	404039f1ae739de3ce2f35cca06a43d18af6044d	2b4af69fea9cdd6324309f258f6c109d227897e090b66cc9493fb686ea6848bd	1948	2026-07-17	TRANSITIVE_FROM:research/_registry/MIGRATION_READINESS.tsv	UNADJUDICATED
