claim_id	claim	status	scope	remaining_open
S01	End(S)=R_I+so2+Sym0_2_with_dimension_4	DERIVED	positive_oriented_two_screen	orientation_and_screen_must_be_supplied_or_intrinsic
S02	traceless_screen_algebra_is_sl2R	DERIVED	generic_real_2x2_algebra	no_gauge_group_force_or_particle_meaning
S03	Q01_Q02_conditional_pair_response_is_pure_rotation	DERIVED	registered_homogeneous_controls	Q01_pair_not_selected;Q02_off_shell_and_unoriented
S04	W01_phi_parameter_response_is_lambda_I	DERIVED	registered_equal_screen_weight_complete_configuration	lambda_not_selected
S05	W01_aligned_null_screen_response_has_trace_plus_rotation_and_zero_shear	DERIVED	local_aligned_stratum	global_nonconstant_alignment_obstructed
S06	nonconstant_W01_depth_forces_pair_screen_mixing_somewhere	DERIVED	stationary_twisted_contact_S3_family	other_complete_topologies_and_time_live_open
S07	C01_C06_north_event_mixing_norm_equals_1_over_125	DERIVED	registered_parameter_samples	pointwise_certificate_not_global_dynamics
S08	no_shear_component_occurs_in_30_explicit_evaluable_response_rows	OBSERVED	fixed_registered_branch_path_atlas	three_generic_Jacobi_rows_open
S09	equal_screen_weights_freeze_phi_response_shear	DERIVED	W01_ansatz_diagnostic	not_a_metric_no_go
S10	independent_screen_weights_would_expose_one_shear_axis	CONDITIONAL	algebraic_counterfactual_only	no_new_complete_branch_constructed
S11	general_screen_matrix_and_second_shear	OPEN	complete_metric_solution_space	must_be_mapped_without_physical_target
S12	common_nonzero_screen_subalgebra_across_all_rows	OPEN	undefined_on_blocked_taxonomy_rows;evaluable_intersection_zero	no_selection
S13	physical_branch_action_source_carrier_boundary_density_scale	OPEN	not_tested	outside_scope
S14	complete_screen_response_atlas	VERIFIED-WITH-CAVEATS	fixed_registered_universe	same_context_independent_implementation_no_fresh_adversarial_model
