claim	status	scope_or_boundary
reciprocal character on supplied ordered depth	DERIVED	founding regular one-parameter representation
physical normalized position constitution	CHOSE_WORKING_FOUNDATIONAL_CLARIFICATION	regular completed co-present observer pairs
local ordered pair germ (u_A,s_AB)	SUPPLIED_CONDITIONAL_DATA	one event and nonzero separation one-jet
physical completed relation owns its one-jet	PROPOSED_WORKING_POSTULATE_NOT_DERIVED	first external review required this ownership regrade
orthogonal ruler r_AB	DERIVED	unique metric projection on regular timelike clock stratum
local Lorentzian pair plane E_AB	DERIVED_FROM_GERM_AND_METRIC	nonzero projected separation
positive pair screen	DERIVED_FROM_GERM_AND_METRIC	orthogonal complement in Lorentz signature (1,3)
G167 Y,Z blocks	DERIVED_AS_COORDINATE_COMPONENTS	once primary metric chart and pair germ are supplied
angular Gram before reciprocal readout	DERIVED	nonradial local germ
bare observer labels to local pair germ	OPEN	exact same-label counterfamily
coincidence direction	OPEN_SINGULAR_BOUNDARY	pair plane rank drops to one
full observer reversal carry	OPEN	different tangent fibers require lawful comparison
B velocity in A positional plane	NOT_REQUIRED_AND_FALSE_IN_GENERAL	exact relative-motion counterexample
path or complete pair surface	NOT_REQUIRED_FOR_LOCAL_PLANE	may be needed for separately typed global/path outputs
global physical relation network	OPEN	germ ownership event/calibration population and cross-query carry
X_max profile dynamics source action bootstrap	OPEN_OR_OUT_OF_SCOPE	not used
