id	object	status	exact_scope_or_premises	what_is_not_claimed
S01	reciprocal_observer_clock_cocycle	DERIVED_GIVEN_TYPED_PATH_AND_OBSERVERS	additive_log_frequency_ratio_and_reciprocal_pair	founding_depth_solder_or_physical_path_selection
S02	transverse_deviation_state_cocycle	DERIVED_GIVEN_METRIC_PATH	full_symplectic_Jacobi_phase_state	projected_angular_size_as_standalone_cocycle
S03	current_clock_transverse_assembly	DERIVED_REDUCIBLE_DIRECT_SUM	common_typed_path_and_intermediate_event	intrinsic_irreducible_solder
S04	local_linear_clock_screen_solder	OBSTRUCTED_WITHOUT_SCREEN_REDUCTION	independent_endpoint_SO2_screen_gauge	nonlinear_or_global_shared_solution_join
S05	reciprocal_boost_identity_component	DERIVED_CONTRACTIBLE	continuous_positive_exponential_pair	angular_winding_or_Hopf_charge
S06	reciprocal_depth_weighted_Hopf_coordinates	EXACT_CONDITIONAL	two_periodic_angular_phases_and_supplied_slot_realization	physical_transverse_slot_selection
S07	opposite_angular_collapses_complete_to_S3	UNIQUE_CONDITIONAL_IN_SUPPLIED_TORIC_CAP_CLASS	full_depth_range_fixed_integral_basis_primitive_opposite_caps	finite_cell_selection_of_that_class
S08	unit_Hopf_class	CONDITIONAL_UNIT_CLASS	S3_completion_periods_orientation_and_free_diagonal_or_antidiagonal_action	native_carrier_source_or_mass
S09	global_angular_lift_caps_and_quotient	OPEN_NOT_SELECTED	current_Reciprocity_CSN_finite_cell_and_bootstrap_record	no_topology_ranking_law_present
S10	matter_as_nontrivial_relational_closure	OPEN_COHERENT_ARCHITECTURE	requires_global_sector_local_representative_response_boundary_and_persistence	not_matter_emergence
S11	topology_alone_as_matter_or_source	REFUTED_AS_SUFFICIENT	topology_labels_sectors_but_supplies_no_off_shell_metric_response	does_not_refute_future_native_topological_matter
S12	current_bootstrap_semantics	ON_SHELL_ADMISSIBILITY_ONLY	owner_narrow_total_proper_density_principle	no_local_equation_or_varied_functional
S13	native_off_shell_global_local_response_one_form	OPEN_ABSENT	complete_field_boundary_and_global_variation_domain	smallest_missing_native_object
S14	same_solution_metric_matter_fixed_point	OPEN_NOT_REGISTERED	zero_of_28_equation_families_and_zero_of_12_completions_complete	no_universal_no_go
S15	action_downstream_of_off_shell_closure	CONDITIONAL_MATHEMATICALLY_VALID	if_a_native_response_one_form_is_first_derived	not_downstream_of_an_on_shell_root_set
S16	local_Helmholtz_integrability	OPEN_UNTESTABLE_RESPONSE_ABSENT	formal_self_adjoint_Frechet_derivative_required	no_action_reconstruction_yet
S17	finite_cell_boundary_gauge_integrability	OPEN	differentiable_boundary_corner_flux_and_Noether_handling_required	no_complete_action
S18	global_action_integrability	OPEN	closed_response_must_have_controlled_or_zero_configuration_space_periods	local_Helmholtz_is_not_sufficient
S19	complete_native_action_source_boundary_mass	OPEN_UNCHANGED	final_ABC_adjudication_retained	no_C2_EH_or_carrier_promotion
S20	overall_audit_ruling	VERIFIED_WITH_CAVEATS	43_exact_18_independent_7_adversarial_no_fresh_external_model	architecture_verified_not_physics_closure
S21	next_bounded_task	POST_JULY_OFF_SHELL_RESPONSE_AVAILABILITY_AUDIT	require_native_response_full_variation_and_finite_cell_boundary	stop_before_density_or_GPU_if_absent
