step	input	output	current_status	missing_gate
D01	metric_plus_typed_observer_path	reciprocal_clock_cocycle	DERIVED	physical_path_and_founding_depth_solder
D02	metric_plus_typed_path	transverse_symplectic_cocycle	DERIVED	physical_path_selection
D03	D01_plus_D02	reducible_common_path_assembly	DERIVED	irreducible_or_shared_solution_join
D04	reciprocal_depth_plus_two_angular_phases	normalized_Hopf_coordinate_pattern	EXACT_CONDITIONAL	physical_angular_slots_periods_and_lift
D05	D04_plus_primitive_opposite_caps	S3_total_space	UNIQUE_CONDITIONAL_IN_CLASS	finite_cell_topology_selection
D06	D05_plus_free_abs_one_circle_action	unit_Hopf_S2_quotient	CONDITIONAL	quotient_and_carrier_identification
D07	global_nontrivial_sector_plus_local_representative	candidate_relational_matter	OPEN	native_response_and_persistence
D08	complete_global_local_variation	native_response_one_form	OPEN_ABSENT	field_census_pairing_boundary_and_global_map
D09	D08_equals_zero	same_solution_metric_matter_closure	OPEN	nontrivial_solution_stability_and_density_window
D10	D08_plus_local_Helmholtz	sectorwise_local_action	OPEN	formal_self_adjointness
D11	D10_plus_boundary_gauge_and_global_period_gates	complete_global_action	OPEN	differentiable_finite_cell_completion
D12	D09_plus_D11_plus_stability	realized_matter_bearing_universe	OPEN	no_current_complete_witness
