path	size	sha256
AUDIT_REPORT.md	3349	a9096d6251562959f16325bf165b475f3b81b430abdc415bcf4a1328a6815722
CATCH_PROOF_RESULT.json	1087	5eb734a53e923fbe630f0dcaa1ad02c233939f28ab05e148a23d5f63e5ccac8e
CAUSAL_AXES.tsv	1551	85dcc9e5e1a8b115b71f4d145eab47dc602a24ef45b267d9a2b10e8f8182deb2
CAUSAL_CLASSIFICATION_ATLAS.tsv	2153	2aedc5817b9abb6c930467d035be4a7161e4980679d55a4c3433772d792ff3c4
COMPLETENESS_MAP.md	1517	e3da58a61070352dcbcd4473e1c02d7482b15f912383794f738a5c42ec3e1a65
DERIVATION_RESULT.json	2907	1c6ad99b540edbe9c9909e785a514b21ca1e5aee11d15202bd6bcbdba6c0d121
EXACT_DERIVATION.md	12584	b126515633a6f2aff6d34df820c005c9c77f46d279bf890781e3e67597c9333b
EXTERNAL_REVIEW_ADJUDICATION.md	1675	d9828adc3f92269c63ea93cbde306ed35815c042867e5f11faab5eaf370aa794
EXTERNAL_REVIEW_DISPATCH.md	3968	e699353f0b40cc5fcc417ed8770cd2e58bf2f0fdb41d80f83ec0a9a51743a764
EXTERNAL_REVIEW_RAW.md	4040	303d9f599923e75fc55f0f2d1ee91aa8e9c309f0242ecc7a1adb81e96ccd4a9c
FALSIFICATION_CONTRACT.tsv	990	db6331619307de7be439e66715e952a52eb990f066bbe6d5f0fb5018b1278744
FINAL_VERIFICATION.md	2199	8aef90eeee837beb36afacf58476af559a1b7cd33712acc7f91ef3bc54f11bf8
INDEPENDENT_VERIFICATION_RESULT.json	2040	be709cdd81404e4637033f553df066969269b2459da64cad718463d79cb65014
LAY_REPORT.md	1428	1424db4c75e74dfce8ba066e5faa28025e503f35d35051eb6b76783920310ce0
NEXT_STEP.md	1245	0a87d9b47a2ba02b31e543c12853203867285df3dbfcf660c06db94473e245c1
PONDER_MAP.md	1614	663151fd24678928008548cc00ca7f1de70c8b1e9773fea89bc60877a167ba66
PREMISE_LEDGER.tsv	1733	ed9440cf2f241035c775561611586970d97edf3ba3d5b9352730640f76d15af4
PREREGISTRATION.md	4096	b484738f9a55303cb0a7e61d5cb911a34a3ce95d41a94de65f4de42b5262073e
PRE_REVIEW_REPORT.md	1710	d7296ed69a1ed39a01518b560e61879b9bf6ef6e0c1ffe011d32b6f336970f61
REPOSITORY_GATES.json	1017	16eb039c1d98d942860d2f6696b9d90226a6335e26128b416b06a9a6437e5a25
SEALED_INTAKE_LAYOUT.md	729	9a56730fdb1a87aca62de23090d1ed0ffbcfef190667dc35e04699fe66d068db
SEALED_INTAKE_REPLAY_RESULT.json	222	55505ba2b3a38543d2d4c30ffc61d2d6faa0b5505be28b052604c75e4d52974d
SOURCE_MANIFEST.tsv	2464	3753360d604b575899c732542e0ed3ee16f4d47a002261eee725469fb73734d0
STATUS_LEDGER.tsv	1784	112c14b084a9358383c5b470016744a7fc0e4221baca8985c8e024694d5271c6
build_package_manifest.py	947	5ad28686894aa31963a915671f9b29af916f09fa8778b07eb7038b8db64138a3
derive_causal_pair_selector.py	8424	bf9bddf46755b23e17dd513e58ea1fae7babc0f00b3e4c465e92e42de4b2f8fc
run_catch_proofs.py	3749	38fc8b5b8f92b5f8dff3c1edee774f75a7784b494e12f9479e477e27f077c86a
verify_causal_pair_selector_independent.py	5774	86c62475e85b512e6cbb6dca7af9655b20195e23b87d185dae197593a75117b1
verify_package_manifest.py	1093	2616747e3f96cd08d0969d71647aa32b512b5a6ab6512eb5210215a5e17d7bcb
verify_preregistration.py	1812	15b2a4a351a893424875e831e933712468ab6fb5896054b0141470e155986277
verify_repository_gates.py	9678	8fa0c87336ce20315dfc28275d90368e9bd595aa159d332b98c247e4ff3ad047
verify_sealed_intake.py	1854	e61f8afbccd99ec71643c80199c10cf21854ca8b9528eae1b66db77e58180458
