item	status	use	guard
F1--F4	FOUNDED_OR_DECLARED	reciprocal representation and primary metric	no value law presumed
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair reciprocal readout	not canon or history selection
W4	WORKING_POSIT	one metric owns clocks rulers free fall and null cone	no second cone or field equation
G220 clock arrow	DERIVED_CONDITIONAL	r_AB on a supplied regular null incidence	not a universal populated query
G224 carry	DERIVED_CONDITIONAL	same-event calibrated line carry	not an independent direct relation
G263 reversal	DERIVED_CONDITIONAL	same-correspondence inversion distinguished from causal return	no profile conjugation
G265 even channel	DERIVED_ALGEBRAIC	cosh delta candidate input	sech physical ownership not adopted
same-correspondence reversal	PINNED_BY_THEORY	r_AB maps to inverse r_AB	causal return remains different
static areal separation	FREE_AND_EXPLORED	separating distance control	not declared physical distance
static slice proper separation	FREE_AND_EXPLORED	separating distance control	not declared physical distance
static optical separation	FREE_AND_EXPLORED	separating distance control	not declared physical distance
positive inverse length kappa	FREE_AND_EXPLORED	compare constant depth per candidate distance	not an observed or founded scale
observations fits source action matter Xmax	OMITTED	none	must not enter result
protected packages	OMITTED	none	must not inspect or cite
